role,rows,positions_sha256,used_for_fit,used_for_selection
train,449903,2b686b8b7255d1a54a2e4402904c6e0581b6aaff3c941e98302f020d17570884,True,False
validation,96408,099057564f4ed73d349279ff7dc7fad2c037bb80480f028f5bcdfa64c5712d96,False,True
test,96408,2c12a16b49a13e05f5c6635511747571e814a3078a247180efb3a65bb68121a8,False,False
locked_temporal_test,100927,a2dce368d97485ec1273f992e14f5e65388ec111c21c7e207127a7df813808b6,False,False
