split_slug,seed,model,explanation_cohort,sample_key,output_scope,feature,mean_abs_shap,importance_rank,sample_rows
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_special_conditions_at_site,0.004045645799430701,17.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_carriageway_hazards,0.01572741574232409,14.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_urban_or_rural_area,0.011087474644057935,16.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_trunk_road_flag,0.023999931380499186,9.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_speed_limit,0.05476101888917461,3.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_month,0.060143531209207936,2.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Serious,feature_hour,0.06640179698775064,1.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_day_of_week,0.07796804157851213,14.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_first_road_class,0.13464583217859757,8.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_road_type,0.3007971133040533,3.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_junction_detail,0.10874754524643429,11.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_junction_control,0.22850742498694554,4.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_second_road_class,0.16873616687499354,7.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_pedestrian_crossing,0.22805155288028522,5.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_light_conditions,0.05562426374862612,16.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_weather_conditions,0.3163419166309822,1.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_road_surface_conditions,0.08788123153771342,13.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_special_conditions_at_site,0.052960827704240855,17.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_carriageway_hazards,0.11832853910147696,9.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_urban_or_rural_area,0.10373107539955104,12.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_trunk_road_flag,0.06817947491872907,15.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_speed_limit,0.3146063588020556,2.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_month,0.11672576015348109,10.0,10000
random_seed_1103,1103,lightgbm_weighted,random_internal_test,random_seed_1103_internal,Fatal,feature_hour,0.22365875877044755,6.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_day_of_week,0.05555194432629257,13.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_first_road_class,0.0739506354901641,12.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_road_type,0.14016616406289398,3.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_junction_detail,0.11687527557740808,7.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_junction_control,0.09875313276460451,8.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_second_road_class,0.11904002308795403,6.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_pedestrian_crossing,0.09735398665951724,9.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_light_conditions,0.04135603682555138,17.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_weather_conditions,0.13762601493591242,4.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_road_surface_conditions,0.045879724696643774,15.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_special_conditions_at_site,0.2441454066193931,1.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_carriageway_hazards,0.050830817911424665,14.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_urban_or_rural_area,0.07481103227203333,11.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_trunk_road_flag,0.042383119332467356,16.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_speed_limit,0.16985436989286007,2.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_month,0.08340115608283562,10.0,10000
