protocol,seed,matched_logistic_training_rows,validation_rows,matched_logistic_macro_f1,matched_logistic_qwk,matched_logistic_ordinal_mae,matched_logistic_accuracy,matched_logistic_slight_recall,matched_logistic_serious_recall,matched_logistic_fatal_recall,matched_logistic_serious_or_fatal_recall,matched_logistic_mean_asymmetric_cost,ordered_logit_training_rows,ordered_validation_rows,ordered_logit_macro_f1,ordered_logit_qwk,ordered_logit_ordinal_mae,ordered_logit_accuracy,ordered_logit_slight_recall,ordered_logit_serious_recall,ordered_logit_fatal_recall,ordered_logit_serious_or_fatal_recall,ordered_logit_mean_asymmetric_cost,delta_logistic_minus_ordered_macro_f1,delta_logistic_minus_ordered_qwk,delta_logistic_minus_ordered_ordinal_mae,delta_logistic_minus_ordered_accuracy,delta_logistic_minus_ordered_slight_recall,delta_logistic_minus_ordered_serious_recall,delta_logistic_minus_ordered_fatal_recall,delta_logistic_minus_ordered_serious_or_fatal_recall,delta_logistic_minus_ordered_mean_asymmetric_cost
random_reference,1103,100000,96408,0.29218370877866073,0.0002220827237958689,0.23488714629491328,0.7796033524188865,0.9999866945194725,0.00020147073637554144,0.0,0.00018822643640299281,0.4842544187204381,100000,96408,0.2927975671680792,0.0014011302591927,0.2349390092108538,0.7795099991701934,0.9996141410647046,0.0011584567341593,0.0,0.0012705284457202,0.484067712223052,-0.0006138583894184646,-0.0011790475353968312,-5.1862915940531495e-05,9.335324869308437e-05,0.0003725534547679432,-0.0009569859977837585,0.0,-0.0010823020093172072,0.00018670649738611322
random_reference,2207,100000,96408,0.29224446488180195,0.000490428212411409,0.23491826404447763,0.779561862086134,0.999906861636308,0.0003022061045633122,0.0,0.00037645287280598563,0.48424404613725003,100000,96408,0.2925251142461572,0.0009945755879108,0.2349804995436063,0.7794685088374409,0.9996673629868142,0.0007555152614082,0.0,0.0008940755729142,0.4841921832213094,-0.00028064936435523435,-0.0005041473754993911,-6.223549912867665e-05,9.335324869308437e-05,0.00023949864949379673,-0.0004533091568448878,0.0,-0.0005176227001082144,5.186291594061476e-05
random_reference,3301,100000,96408,0.292063816789807,0.0001898229535028939,0.23499087212679445,0.7794892540038171,0.9998935547394753,5.036768409388536e-05,0.0,0.0001411631846414455,0.48439963488507176,100000,96408,0.2923530198145654,0.0006342143120597,0.2351775786241805,0.7792714297568667,0.9994810793549416,0.0005540445250327,0.0,0.0007528703180877,0.4844514978010124,-0.0002892030247584332,-0.00044439135855680613,-0.0001867064973860577,0.00021782424695038216,0.0004124753845337059,-0.0005036768409388147,0.0,-0.0006117071334462546,-5.186291594061476e-05
random_reference,4409,100000,96408,0.2925323000670082,0.0009481072084427389,0.2349597543772301,0.7795099991701934,0.999733886848688,0.0007555152614082804,0.0,0.0008469791078486731,0.48421292838768565,100000,96408,0.2938030837352235,0.0040846758794372,0.2348249107957845,0.7795307443365695,0.9992548831763266,0.0026694872569759,0.0,0.0031526444569922,0.4835698282300224,-0.001270783668215314,-0.0031365686709944616,0.00013484358144560948,-2.074516637617929e-05,0.00047900367236142216,-0.0019139719955676197,0.0,-0.002305665349143527,0.0006431001576632234
random_reference,5501,100000,96408,0.29237713857464626,0.0005736209168603068,0.23491826404447763,0.779572234669322,0.9998802490819096,0.0005036768409388536,0.0,0.0005175983436853002,0.48424404613725003,100000,96408,0.2932277674421725,0.0023561345650622,0.2349286366276657,0.7794996265870052,0.9994411623822448,0.0018132366273798,0.0,0.0020233389798607,0.4839224960584183,-0.0008506288675262375,-0.001782513648201893,-1.037258318806189e-05,7.260808231679405e-05,0.000439086699664859,-0.0013095597864409463,0.0,-0.0015057406361753997,0.0003215500788317227
temporal,year_based,100000,104258,0.28824547469911693,0.0001966220572928723,0.25406203840472674,0.7605363617180456,0.9998108401220712,0.0003839918081747589,0.0,0.0003605769230769231,0.5225786030808187,100000,104258,0.2885998367212488,0.0008806444297901,0.2540908131750081,0.7604788121774828,0.999571237610028,0.0009386466422049,0.0,0.0010016025641025,0.5224539124095993,-0.00035436202213184886,-0.0006840223724972277,-2.8774770281347894e-05,5.754954056280681e-05,0.00023960251204324656,-0.0005546548340301411,0.0,-0.000641025641025577,0.00012469067121945177
