dataset,seed,model,metric,gap,ci_lower,ci_upper,design,iterations
stats19,2207,lightgbm_revised,accuracy,-0.10450643991077335,-0.10828846904881317,-0.10041166282665986,independent_true_class_stratified,2000
stats19,2207,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,2207,logistic_weighted,fatal_recall,0.41711480543824264,0.38376882801948381,0.44947537760811052,independent_true_class_stratified,2000
stats19,2207,lightgbm_legacy,fatal_recall,0.27895471750589107,0.24980138546792163,0.30912107652362419,independent_true_class_stratified,2000
stats19,2207,lightgbm_revised,fatal_recall,0.27895471750589107,0.24980138546792163,0.30912107652362419,independent_true_class_stratified,2000
stats19,2207,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,2207,logistic_weighted,serious_or_fatal_recall,0.39372466567842113,0.38554866105779928,0.40228896145190002,independent_true_class_stratified,2000
stats19,2207,lightgbm_legacy,serious_or_fatal_recall,0.29316620289491679,0.28479597140050805,0.30157878024767582,independent_true_class_stratified,2000
stats19,2207,lightgbm_revised,serious_or_fatal_recall,0.29316620289491679,0.28479597140050805,0.30157878024767582,independent_true_class_stratified,2000
stats19,2207,dummy_most_frequent,mean_asymmetric_cost,0.057042137360282352,0.057042137360282352,0.057042137360282352,independent_true_class_stratified,2000
stats19,2207,logistic_weighted,mean_asymmetric_cost,-0.14573399216267113,-0.1523732147780959,-0.13891663546669861,independent_true_class_stratified,2000
stats19,2207,lightgbm_legacy,mean_asymmetric_cost,-0.058595684283350935,-0.064676608451327444,-0.052489498527494224,independent_true_class_stratified,2000
stats19,2207,lightgbm_revised,mean_asymmetric_cost,-0.058595684283350935,-0.064676608451327444,-0.052489498527494224,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,macro_f1,0.0059798090309858276,0.0059798090309858276,0.0059798090309858276,independent_true_class_stratified,2000
stats19,3301,logistic_weighted,macro_f1,-0.012736827111221705,-0.016449126240578659,-0.0087974947514127752,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,macro_f1,0.0026125153595326078,-0.0018676617596271052,0.0072455504811876868,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,macro_f1,0.0026125153595326078,-0.0018676617596271052,0.0072455504811876868,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
stats19,3301,logistic_weighted,qwk,0.051282543088941979,0.043851357492080995,0.059188615913263083,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,qwk,0.063444428342510628,0.054887859792276561,0.07168224943987736,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,qwk,0.063444428342510628,0.054887859792276561,0.07168224943987736,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,ordinal_mae,0.028351227766435227,0.028351227766435227,0.028351227766435227,independent_true_class_stratified,2000
stats19,3301,logistic_weighted,ordinal_mae,-0.27005401125245848,-0.27578298153638386,-0.26410881408572467,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,ordinal_mae,-0.16419303316738609,-0.16923978232335163,-0.15924389912800274,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,ordinal_mae,-0.16419303316738609,-0.16923978232335163,-0.15924389912800274,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,accuracy,0.027959683023082604,0.027959683023082604,0.027959683023082604,independent_true_class_stratified,2000
stats19,3301,logistic_weighted,accuracy,-0.1597772840030654,-0.16348552877926339,-0.15588242804127736,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,accuracy,-0.11447450222077393,-0.11818347068163973,-0.11046856338982669,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,accuracy,-0.11447450222077393,-0.11818347068163973,-0.11046856338982669,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
