dataset,seed,scope,rho,ci_lower,ci_upper,internal_rows,future_rows,iterations
stats19,1103,overall,0.61519607843137258,0.59558823529411764,0.62009803921568629,10000,10000,2000
stats19,1103,Slight,0.65196078431372551,0.59552696078431377,0.66421568627450978,10000,10000,2000
stats19,1103,Serious,0.83578431372549022,0.83088235294117652,0.86764705882352944,10000,10000,2000
stats19,1103,Fatal,0.6200980392156864,0.60784313725490191,0.66666666666666663,10000,10000,2000
stats19,2207,overall,0.58333333333333337,0.57352941176470584,0.59068627450980393,10000,10000,2000
stats19,2207,Slight,0.52941176470588247,0.5220588235294118,0.54411764705882348,10000,10000,2000
stats19,2207,Serious,0.94117647058823528,0.9240196078431373,0.95588235294117652,10000,10000,2000
stats19,2207,Fatal,0.73039215686274517,0.68382352941176472,0.73774509803921573,10000,10000,2000
stats19,3301,overall,0.5710784313725491,0.56617647058823528,0.59558823529411764,10000,10000,2000
stats19,3301,Slight,0.50490196078431382,0.48039215686274511,0.53431372549019607,10000,10000,2000
stats19,3301,Serious,0.82843137254901966,0.82107843137254899,0.84803921568627449,10000,10000,2000
stats19,3301,Fatal,0.71323529411764719,0.6740196078431373,0.75490196078431371,10000,10000,2000
stats19,4409,overall,0.63235294117647067,0.61029411764705888,0.66911764705882348,10000,10000,2000
stats19,4409,Slight,0.53676470588235303,0.51960784313725494,0.57352941176470584,10000,10000,2000
stats19,4409,Serious,0.94607843137254921,0.93872549019607843,0.96323529411764708,10000,10000,2000
stats19,4409,Fatal,0.75490196078431382,0.74754901960784315,0.76960784313725494,10000,10000,2000
stats19,5501,overall,0.62745098039215697,0.6029411764705882,0.62990196078431371,10000,10000,2000
stats19,5501,Slight,0.60784313725490202,0.59068627450980393,0.62009803921568629,10000,10000,2000
stats19,5501,Serious,0.91176470588235303,0.90441176470588236,0.92156862745098034,10000,10000,2000
stats19,5501,Fatal,0.69362745098039225,0.66911764705882348,0.7009803921568627,10000,10000,2000
