dataset,model,metric,mean,std,min,max
stats19,dummy_most_frequent,macro_f1,0.0059789356033123518,1.1959900977797892e-06,0.0059776254618021385,0.0059798090309858276
stats19,logistic_weighted,macro_f1,-0.017018997257466816,0.0076532484142594025,-0.025273883444974887,-0.0077246658483816621
stats19,lightgbm_legacy,macro_f1,-0.0031813885126504293,0.0045290595067344801,-0.0096067121690074364,0.0026125153595326078
stats19,lightgbm_revised,macro_f1,-0.0031813885126504293,0.0045290595067344801,-0.0096067121690074364,0.0026125153595326078
stats19,dummy_most_frequent,qwk,0,0,0,0
stats19,logistic_weighted,qwk,0.043772948416644586,0.017095163942010033,0.022025674951806407,0.063052382119049732
stats19,lightgbm_legacy,qwk,0.053553500585530898,0.0063139780767533385,0.045857928782610857,0.063444428342510628
stats19,lightgbm_revised,qwk,0.053553500585530898,0.0063139780767533385,0.045857928782610857,0.063444428342510628
stats19,dummy_most_frequent,ordinal_mae,0.028342929699884733,1.1362595583461585e-05,0.028330482600058993,0.028351227766435227
stats19,logistic_weighted,ordinal_mae,-0.26067612979978316,0.0148939772423547,-0.27648331429765394,-0.24211302009148739
stats19,lightgbm_legacy,ordinal_mae,-0.15117001149489448,0.0078830565222530891,-0.16419303316738609,-0.14474302912852555
stats19,lightgbm_revised,ordinal_mae,-0.15117001149489448,0.0078830565222530891,-0.16419303316738609,-0.14474302912852555
stats19,dummy_most_frequent,accuracy,0.02795553398980739,5.6812977916852245e-06,0.02794931043989457,0.027959683023082604
stats19,logistic_weighted,accuracy,-0.15302270966972775,0.010999083440604593,-0.16505894412402544,-0.14111063768876625
stats19,lightgbm_legacy,accuracy,-0.10380553046637478,0.0063402904758039034,-0.11447450222077393,-0.098593907475790887
stats19,lightgbm_revised,accuracy,-0.10380553046637478,0.0063402904758039034,-0.11447450222077393,-0.098593907475790887
stats19,dummy_most_frequent,fatal_recall,0,0,0,0
stats19,logistic_weighted,fatal_recall,0.40352934131640017,0.038888731403349502,0.34588217141093708,0.45033060190802626
stats19,lightgbm_legacy,fatal_recall,0.26466302723073404,0.0093055430427109592,0.25348688029418187,0.27895471750589107
stats19,lightgbm_revised,fatal_recall,0.26466302723073404,0.0093055430427109592,0.25348688029418187,0.27895471750589107
stats19,dummy_most_frequent,serious_or_fatal_recall,0,0,0,0
stats19,logistic_weighted,serious_or_fatal_recall,0.37449586504115406,0.042809714219619474,0.32842179600864768,0.42375116956152603
stats19,lightgbm_legacy,serious_or_fatal_recall,0.29650400363171447,0.023985718070756397,0.27131910956815097,0.33571381385568855
stats19,lightgbm_revised,serious_or_fatal_recall,0.29650400363171447,0.023985718070756397,0.27131910956815097,0.33571381385568855
stats19,dummy_most_frequent,mean_asymmetric_cost,0.057073255109846691,2.8406488958637453e-05,0.057042137360282352,0.057094000276222912
stats19,logistic_weighted,mean_asymmetric_cost,-0.14460923227080366,0.0035108591249271414,-0.14806751732163126,-0.13926381419019562
stats19,lightgbm_legacy,mean_asymmetric_cost,-0.056547360445477347,0.0038872989464198548,-0.059807415500612859,-0.050426571386508301
stats19,lightgbm_revised,mean_asymmetric_cost,-0.056547360445477347,0.0038872989464198548,-0.059807415500612859,-0.050426571386508301
