role,rows,positions_sha256,used_for_fit,used_for_selection
train,449903,1902da94cf43c59aee26f96b1fe6a13db4dc5b212a6a8cb649d5ad06eb51d1a1,True,False
validation,96408,1d34f3502d9f76dcfdc4e0d84b1af27eb09e6824282a7c20afea8efc5dd5bac8,False,True
test,96408,5a43e84a92be03c4c6e666d3d7f8adabae1bf9cbc66fb077ef891fda4dc2b83c,False,False
locked_temporal_test,100927,a2dce368d97485ec1273f992e14f5e65388ec111c21c7e207127a7df813808b6,False,False
