seed,model,explanation_cohort,output_class_code,output_class_label,feature,mean_signed_shap,median_signed_shap,mean_abs_shap,class_specific_importance_rank,positive_share,negative_share,zero_share,sample_rows,interpretation
1103,lightgbm_weighted,random_internal_test,1,Serious,feature_weather_primary,-0.0005342748146195751,-0.0024298279228157586,0.041959930884083535,7.0,0.44423981993042766,0.5557601800695723,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,1,Serious,feature_weather_secondary,9.172335128354234e-05,-0.0012830328569986974,0.016913967683227227,14.0,0.45242480049109884,0.5475751995089012,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,1,Serious,feature_advisory_speed,-0.003509500404746836,-0.010277006716886881,0.02763933596259233,10.0,0.1368937998772253,0.8631062001227747,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,1,Serious,feature_speed_limit,0.005841075375009967,0.00361342785980728,0.09479279704650334,1.0,0.5479844485369347,0.45201555146306527,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,1,Serious,feature_temporary_speed_limit,-0.0009235533744736166,-0.013021880727648451,0.02503924046023442,11.0,0.05033763044812769,0.9496623695518723,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_number_of_lanes,-0.006218803002303304,0.1892656073385895,0.3855897487482364,2.0,0.7937384898710865,0.20626151012891344,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_state_highway,0.010414925091931183,-0.05091687218625671,0.1471542022493778,9.0,0.3513402905668099,0.6486597094331901,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_terrain,-0.001390901371349311,-0.009416010847776433,0.07484108627133688,12.0,0.44567219152854515,0.5543278084714549,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_light,-0.005879549392834116,-0.030932886034230167,0.22048145385189755,6.0,0.4221403724166155,0.5778596275833845,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_road_character,-0.003343234761032939,0.04663054476955784,0.09240634730850061,11.0,0.9396357683650501,0.06036423163494987,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_road_lane,-0.014584727659934365,0.16612330520801102,0.28833128781017425,4.0,0.853488847963986,0.14651115203601392,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_road_surface,0.004321266708261526,-0.0021224258976687838,0.015769710453634362,15.0,0.3707796193984039,0.629220380601596,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_street_light,0.015764767173132514,0.03093162633722417,0.1821434249585337,7.0,0.5324329854716595,0.4675670145283405,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_traffic_control,-0.01071762780823787,0.1562025539345983,0.3516586476707198,3.0,0.6513198281154082,0.34868017188459177,0.0,4887,raw_class_score_attribution_not_causal
