seed,model,metric,higher_is_better,contrast,internal_value,future_2025_value,point_gap,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
2207,dummy_most_frequent,accuracy,True,random_internal_minus_same_model_2025,0.7800286474319623,0.7799279074179473,0.00010074001401505495,0.00010074001401505495,0.00010074001401505495,2000,2000,independent_stratified
2207,dummy_most_frequent,minor_recall,True,random_internal_minus_same_model_2025,1.0,1.0,0.0,0.0,0.0,2000,2000,independent_stratified
2207,dummy_most_frequent,serious_recall,True,random_internal_minus_same_model_2025,0.0,0.0,0.0,0.0,0.0,2000,2000,independent_stratified
2207,dummy_most_frequent,fatal_recall,True,random_internal_minus_same_model_2025,0.0,0.0,0.0,0.0,0.0,2000,2000,independent_stratified
2207,dummy_most_frequent,serious_or_fatal_recall,True,random_internal_minus_same_model_2025,0.0,0.0,0.0,0.0,0.0,2000,2000,independent_stratified
2207,dummy_most_frequent,mean_asymmetric_cost,False,random_internal_minus_same_model_2025,0.5215878862287702,0.513849364446974,0.007738521781796126,0.007738521781796126,0.007738521781796126,2000,2000,independent_stratified
2207,logistic_weighted,macro_f1,True,random_internal_minus_same_model_2025,0.32966684123630347,0.32783848742662824,0.0018283538096752205,-0.011364907508590743,0.015803482480742453,2000,2000,independent_stratified
2207,logistic_weighted,qwk,True,random_internal_minus_same_model_2025,0.10163089326613706,0.1037757456094398,-0.00214485234330275,-0.02429083305030166,0.017925984631766888,2000,2000,independent_stratified
2207,logistic_weighted,ordinal_mae,False,random_internal_minus_same_model_2025,0.7462656026191937,0.7371466514892809,0.009118951129912789,-0.018316690558936966,0.03486563116413879,2000,2000,independent_stratified
2207,logistic_weighted,accuracy,True,random_internal_minus_same_model_2025,0.47472887251892776,0.4748624549421362,-0.00013358242320843372,-0.016096616486493458,0.017279890930592016,2000,2000,independent_stratified
