seed,model,explanation_cohort,aggregation,feature,mean_abs_shap,importance_rank,sample_rows
2207,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.05497409375973226,11.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.15357517640613585,3.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_state_highway,0.0843799896059894,8.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_terrain,0.05758457376938019,10.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_light,0.12891855916148687,5.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_character,0.02994236460454754,12.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_lane,0.10770977800190208,7.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_surface,0.009267245207005543,15.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_street_light,0.10790052985162316,6.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.1924477710589289,2.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_urban,0.0581565208426439,9.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.14103516458545273,4.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.025143821012769147,14.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.026794593792954846,13.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.2364227208712671,1.0,4887
2207,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.05302962840010642,11.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.19576028720205282,2.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_state_highway,0.08547980079699899,8.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_terrain,0.05845377065772919,9.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_light,0.17143313824478834,4.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_character,0.03337079565810982,13.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_lane,0.10895644228572247,7.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_surface,0.008338138969428784,15.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_street_light,0.1225929993808906,6.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.18465547249846068,3.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_urban,0.05129845320474281,11.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.15356492561753934,5.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.027461908336129017,14.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.03618566167067826,12.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.24538179224190784,1.0,4887
3301,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.056439893959233364,10.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.1894438452442807,2.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_state_highway,0.08713515780989269,8.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_terrain,0.05983110749526653,9.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_light,0.1653899327383803,4.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_character,0.031100133976232486,13.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_lane,0.11070369899398119,7.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_surface,0.00942016435628406,15.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_street_light,0.12421469598784922,6.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.17129137587705906,3.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_urban,0.05060776713115196,11.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.1480974983048028,5.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.027940559838334357,14.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.037931261109312886,12.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.24574886279249777,1.0,4887
3301,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.05243452428700187,10.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.14074309221290782,4.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_state_highway,0.08207858797999577,8.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_terrain,0.06487095051751744,10.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_light,0.12003180304745417,7.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_character,0.0325888255825867,12.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_lane,0.13041083827996255,5.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_surface,0.010809265628929051,15.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_street_light,0.12140182486712314,6.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.2422094906196379,1.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_urban,0.04413661023066943,11.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.15826741591874866,3.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.026624251124706233,14.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.028850831412002436,13.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.2404484544625363,2.0,4887
4409,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.06520592344990246,9.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.13706114012900153,4.0,4887
