split,cohort,scope,feature,mean_abs_shap,rank
random_seed_1103,internal,Serious,feature_light_conditions,0.031589114140508009,9
random_seed_1103,internal,Serious,feature_month,0.06016356305212503,2
random_seed_1103,internal,Serious,feature_pedestrian_crossing,0.017253994753886184,12
random_seed_1103,internal,Serious,feature_road_surface_conditions,0.015714143718758063,14
random_seed_1103,internal,Serious,feature_road_type,0.019952552066181069,11
random_seed_1103,internal,Serious,feature_second_road_class,0.015825238294432543,13
random_seed_1103,internal,Serious,feature_speed_limit,0.054406282162633615,3
random_seed_1103,internal,Serious,feature_trunk_road_flag,0.03817918520728069,6
random_seed_1103,internal,Serious,feature_urban_or_rural_area,0.010897821490221542,15
random_seed_1103,internal,Serious,feature_weather_conditions,0.023363281805306724,10
random_seed_1103,internal,Slight,feature_day_of_week,0.044031962247945679,12
random_seed_1103,internal,Slight,feature_first_road_class,0.056298599397037449,8
random_seed_1103,internal,Slight,feature_hour,0.091196392031218446,4
random_seed_1103,internal,Slight,feature_junction_control,0.042771763072795441,14
random_seed_1103,internal,Slight,feature_junction_detail,0.04841528314737089,11
random_seed_1103,internal,Slight,feature_light_conditions,0.054219638195772323,9
random_seed_1103,internal,Slight,feature_month,0.056776483386775385,7
random_seed_1103,internal,Slight,feature_pedestrian_crossing,0.043300858404752562,13
random_seed_1103,internal,Slight,feature_road_surface_conditions,0.031569747789004711,15
random_seed_1103,internal,Slight,feature_road_type,0.10336173065165501,2
random_seed_1103,internal,Slight,feature_second_road_class,0.10296918860630098,3
random_seed_1103,internal,Slight,feature_speed_limit,0.13534015896073331,1
random_seed_1103,internal,Slight,feature_trunk_road_flag,0.053784221269639991,10
random_seed_1103,internal,Slight,feature_urban_or_rural_area,0.086991240904973552,5
random_seed_1103,internal,Slight,feature_weather_conditions,0.077060259357373498,6
random_seed_1103,internal,overall,feature_day_of_week,0.058309886770979147,12
random_seed_1103,internal,overall,feature_first_road_class,0.087385117908466495,8
random_seed_1103,internal,overall,feature_hour,0.13923157363054889,3
random_seed_1103,internal,overall,feature_junction_control,0.10165723252346071,7
random_seed_1103,internal,overall,feature_junction_detail,0.082236410063643101,10
random_seed_1103,internal,overall,feature_light_conditions,0.044372844526028028,15
random_seed_1103,internal,overall,feature_month,0.084516972372457325,9
random_seed_1103,internal,overall,feature_pedestrian_crossing,0.12751039354781132,4
random_seed_1103,internal,overall,feature_road_surface_conditions,0.045726535524895771,14
random_seed_1103,internal,overall,feature_road_type,0.14284383825006258,2
random_seed_1103,internal,overall,feature_second_road_class,0.12676161398676641,5
random_seed_1103,internal,overall,feature_speed_limit,0.16805918728991431,1
random_seed_1103,internal,overall,feature_trunk_road_flag,0.056319637412852917,13
random_seed_1103,internal,overall,feature_urban_or_rural_area,0.070082355507117264,11
random_seed_1103,internal,overall,feature_weather_conditions,0.1189547207556446,6
random_seed_2207,future,Fatal,feature_day_of_week,0.10431456713080074,12
random_seed_2207,future,Fatal,feature_first_road_class,0.14766183612763606,9
random_seed_2207,future,Fatal,feature_hour,0.2480024861579303,8
random_seed_2207,future,Fatal,feature_junction_control,0.25326718939985537,6
random_seed_2207,future,Fatal,feature_junction_detail,0.25150234394280507,7
random_seed_2207,future,Fatal,feature_light_conditions,0.054803657503986844,15
random_seed_2207,future,Fatal,feature_month,0.14557240264112437,10
random_seed_2207,future,Fatal,feature_pedestrian_crossing,0.34185144799003042,2
random_seed_2207,future,Fatal,feature_road_surface_conditions,0.081985436410485529,13
random_seed_2207,future,Fatal,feature_road_type,0.28232822196264495,3
random_seed_2207,future,Fatal,feature_second_road_class,0.27381459718277112,5
random_seed_2207,future,Fatal,feature_speed_limit,0.47329774042676426,1
random_seed_2207,future,Fatal,feature_trunk_road_flag,0.059937855181273529,14
random_seed_2207,future,Fatal,feature_urban_or_rural_area,0.13985950696004712,11
random_seed_2207,future,Fatal,feature_weather_conditions,0.27833766131572635,4
random_seed_2207,future,Serious,feature_day_of_week,0.040582496272559811,6
random_seed_2207,future,Serious,feature_first_road_class,0.061340742001790287,2
random_seed_2207,future,Serious,feature_hour,0.065431766213452036,1
random_seed_2207,future,Serious,feature_junction_control,0.039490202749208413,7
random_seed_2207,future,Serious,feature_junction_detail,0.036380965539183574,8
random_seed_2207,future,Serious,feature_light_conditions,0.015947274739195022,13
random_seed_2207,future,Serious,feature_month,0.061265174322575409,3
random_seed_2207,future,Serious,feature_pedestrian_crossing,0.023160293127847554,11
random_seed_2207,future,Serious,feature_road_surface_conditions,0.025824720186579934,10
random_seed_2207,future,Serious,feature_road_type,0.020102357537823017,12
random_seed_2207,future,Serious,feature_second_road_class,0.045428588808751953,5
random_seed_2207,future,Serious,feature_speed_limit,0.052383648354749505,4
random_seed_2207,future,Serious,feature_trunk_road_flag,0.031903679171870501,9
random_seed_2207,future,Serious,feature_urban_or_rural_area,0.012148394686871169,15
random_seed_2207,future,Serious,feature_weather_conditions,0.015353811294711273,14
random_seed_2207,future,Slight,feature_day_of_week,0.044255650343253981,14
random_seed_2207,future,Slight,feature_first_road_class,0.060249842641160421,9
random_seed_2207,future,Slight,feature_hour,0.089911863168151279,6
random_seed_2207,future,Slight,feature_junction_control,0.046120640649803438,12
random_seed_2207,future,Slight,feature_junction_detail,0.091021745998382086,5
random_seed_2207,future,Slight,feature_light_conditions,0.06198707374219168,8
random_seed_2207,future,Slight,feature_month,0.059014021333177936,10
random_seed_2207,future,Slight,feature_pedestrian_crossing,0.04497063359775761,13
random_seed_2207,future,Slight,feature_road_surface_conditions,0.033820065159451164,15
random_seed_2207,future,Slight,feature_road_type,0.092471433839978523,4
random_seed_2207,future,Slight,feature_second_road_class,0.093283504658613986,3
random_seed_2207,future,Slight,feature_speed_limit,0.13792698663432684,1
random_seed_2207,future,Slight,feature_trunk_road_flag,0.046330408512550693,11
random_seed_2207,future,Slight,feature_urban_or_rural_area,0.094054141265802624,2
random_seed_2207,future,Slight,feature_weather_conditions,0.066547359700547565,7
random_seed_2207,future,overall,feature_day_of_week,0.063050904582204845,12
random_seed_2207,future,overall,feature_first_road_class,0.089750806923528922,9
random_seed_2207,future,overall,feature_hour,0.13444870517984453,4
random_seed_2207,future,overall,feature_junction_control,0.11295934426628906,8
random_seed_2207,future,overall,feature_junction_detail,0.12630168516012358,6
random_seed_2207,future,overall,feature_light_conditions,0.044246001995124518,15
random_seed_2207,future,overall,feature_month,0.08861719943229257,10
random_seed_2207,future,overall,feature_pedestrian_crossing,0.13666079157187852,3
random_seed_2207,future,overall,feature_road_surface_conditions,0.047210073918838878,13
random_seed_2207,future,overall,feature_road_type,0.1316340044468155,5
