model,test_year,rows,macro_f1,qwk,ordinal_mae,accuracy,slight_recall,serious_recall,fatal_recall,serious_or_fatal_recall,mean_asymmetric_cost,class0_precision,class0_recall,class1_precision,class1_recall,class2_precision,class2_recall,log_loss
exclude2020_lightgbm_weighted,2024,100927,0.36598698418484549,0.10572797845046977,0.48040663053494109,0.58247049847909871,0.67109599514883067,0.316671617091696,0.2769640479360852,0.43954685069208982,0.6411366631327593,0.78370639490132088,0.67109599514883067,0.27484992450189666,0.316671617091696,0.047186932849364795,0.2769640479360852,0.82044490891600041
exclude2020_logistic_weighted,2024,100927,0.33217661950173322,0.10429492662892703,0.63905595133116011,0.52024730745984726,0.61648079306071868,0.20528705393134467,0.60186418109187745,0.51757150265267859,0.77073528391807944,0.79452590088176833,0.61648079306071868,0.26220801040594005,0.20528705393134467,0.038277511961722487,0.60186418109187745,0.9623785651346356
main_lightgbm_weighted,2024,100927,0.36578988815018154,0.10465569181872225,0.47676043080642444,0.58678054435383986,0.67971736665875715,0.30784571646794245,0.26964047936085217,0.43025250309146756,0.64001704202047027,0.7830814792315286,0.67971736665875715,0.27653897465218219,0.30784571646794245,0.045778229908443539,0.26964047936085217,0.82684309897174901
main_logistic_weighted,2024,100927,0.33716295512088085,0.10518005372175354,0.60816233515313045,0.53703171599274724,0.64034116375332861,0.20240166334280987,0.56990679094540608,0.48737484542662252,0.74829332091511691,0.79078891674535212,0.64034116375332861,0.26433915211970077,0.20240166334280987,0.039895600298284865,0.56990679094540608,0.94379727485113041
