group,model,metric,estimate,ci_lower,ci_upper
random_seed_1103_2024,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_1103_2024,dummy_most_frequent,fatal_recall,0,0,0
random_seed_1103_2024,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_1103_2024,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_1103_2024,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_1103_2024,dummy_most_frequent,qwk,0,0,0
random_seed_1103_2024,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_1103_2024,lightgbm_weighted,accuracy,0.59627255342970664,0.59363673744389511,0.59911619289189211
random_seed_1103_2024,lightgbm_weighted,fatal_recall,0.18308921438082557,0.16378162450066577,0.20306258322237017
random_seed_1103_2024,lightgbm_weighted,macro_f1,0.36663002798448024,0.36354390324535107,0.36985136535039548
random_seed_1103_2024,lightgbm_weighted,mean_asymmetric_cost,0.62238053246405822,0.61804051443122254,0.62640423276229351
random_seed_1103_2024,lightgbm_weighted,ordinal_mae,0.45180179733867054,0.44836366879031381,0.45504201056208943
random_seed_1103_2024,lightgbm_weighted,qwk,0.097069482509991256,0.090951447190875417,0.10336683480442721
random_seed_1103_2024,lightgbm_weighted,serious_or_fatal_recall,0.41114523913997369,0.40508197375244326,0.41736906139056201
random_seed_1103_2024,logistic_unweighted,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_1103_2024,logistic_unweighted,fatal_recall,0,0,0
random_seed_1103_2024,logistic_unweighted,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_1103_2024,logistic_unweighted,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_1103_2024,logistic_unweighted,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_1103_2024,logistic_unweighted,qwk,0,0,0
random_seed_1103_2024,logistic_unweighted,serious_or_fatal_recall,0,0,0
random_seed_1103_2024,logistic_weighted,accuracy,0.54116341514163702,0.53827989536992082,0.54408631981531208
random_seed_1103_2024,logistic_weighted,fatal_recall,0.5452729693741678,0.52063914780292941,0.57123834886817582
random_seed_1103_2024,logistic_weighted,macro_f1,0.33977052851267014,0.33722865608263025,0.3423182456240414
random_seed_1103_2024,logistic_weighted,mean_asymmetric_cost,0.73939580092542134,0.73444147750354216,0.74450989328920902
random_seed_1103_2024,logistic_weighted,ordinal_mae,0.59623292082396184,0.59196176444360782,0.60058284700823372
random_seed_1103_2024,logistic_weighted,qwk,0.10278517970652512,0.097658004657059219,0.10777865663459213
random_seed_1103_2024,logistic_weighted,serious_or_fatal_recall,0.47812038772986559,0.47181778291914317,0.48438409988431924
random_seed_1103_internal,dummy_most_frequent,accuracy,0.77956186208613398,0.77956186208613398,0.77956186208613398
random_seed_1103_internal,dummy_most_frequent,fatal_recall,0,0,0
random_seed_1103_internal,dummy_most_frequent,macro_f1,0.29204261966379891,0.29204261966379891,0.29204261966379891
random_seed_1103_internal,dummy_most_frequent,mean_asymmetric_cost,0.48437888971869553,0.48437888971869553,0.48437888971869553
