group,candidate,reference,metric,delta,ci_lower,ci_upper,design,iterations
random_seed_1103_internal,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.54945416901938637,0.54272421419160555,0.55618412384716731,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,accuracy,0.062028047464940672,0.058905381296157959,0.065057101070450596,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,fatal_recall,-0.28540772532188846,-0.30974606580829761,-0.25963876967095856,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,macro_f1,0.031114318069792146,0.028146395747569889,0.034189653567648491,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.13971869554393823,-0.14450097502281967,-0.1346667289021658,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.16233092689403372,-0.16645921500290428,-0.15810928553646997,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,qwk,0.01812548531614766,0.013717082994119157,0.022405603973800852,paired_true_class_stratified,2000
random_seed_1103_internal,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.065029173724825862,-0.071052136269527555,-0.058817993600602358,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,accuracy,-0.15839170885887821,-0.16126507277537239,-0.15561742645674603,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.23901464713715045,0.21704394141145139,0.26031957390146471,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,macro_f1,0.079951991912682208,0.076871182647032604,0.082984976000291061,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.09193773717637499,0.087558334241580549,0.096525706698901204,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.20149216760628968,0.19784596787777303,0.20502962537279415,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,qwk,0.099891387138914212,0.093756137578875576,0.10583965273090129,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,dummy_most_frequent,serious_or_fatal_recall,0.41242171606366429,0.40635845067613385,0.41824763652319602,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,accuracy,-0.15839170885887821,-0.16126507277537239,-0.15561742645674603,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,fatal_recall,0.23901464713715045,0.21704394141145139,0.26031957390146471,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,macro_f1,0.079951991912682208,0.076871182647032604,0.082984976000291061,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,mean_asymmetric_cost,0.09193773717637499,0.087558334241580549,0.096525706698901204,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,ordinal_mae,0.20149216760628968,0.19784596787777303,0.20502962537279415,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,qwk,0.099891387138914212,0.093756137578875576,0.10583965273090129,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.41242171606366429,0.40635845067613385,0.41824763652319602,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,accuracy,0.04104947140012094,0.038195428378927351,0.043814341058388724,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,fatal_recall,-0.2543275632490013,-0.27896138482023963,-0.22769640479360853,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,macro_f1,0.02583383637229919,0.022436576429648126,0.028986324111860556,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.094038265280846578,-0.098587840716557532,-0.089163454774242812,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.11094157163098078,-0.11471657732816787,-0.10697831105650618,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,qwk,0.00081373192470302058,-0.0043829984961139155,0.0061711658838909823,paired_true_class_stratified,2000
random_seed_2207_2024,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.037576289441142441,-0.043161873229885538,-0.032191152419322688,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,accuracy,-0.23628744502530918,-0.23927552692722598,-0.23306079371006561,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.37768240343347642,0.35193133047210301,0.40414878397711018,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,macro_f1,0.060154986606163419,0.057359313956182469,0.063187850713255916,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.17646875777943744,0.1716143888473986,0.18116753796365453,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.30892664509169365,0.30491245539789225,0.31285785411999001,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,qwk,0.11597735573716694,0.11084383596529095,0.12117447236074627,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,dummy_most_frequent,serious_or_fatal_recall,0.55119518162996428,0.54484283832109914,0.55773691887822319,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,accuracy,-0.23622520952618042,-0.23921277279893782,-0.23297807235914036,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,fatal_recall,0.37768240343347642,0.35193133047210301,0.40414878397711018,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,macro_f1,0.060166386325570642,0.057366882291134139,0.063206368458719825,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,mean_asymmetric_cost,0.17642726744668497,0.17157289851464602,0.18111593436229362,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,ordinal_mae,0.30887478217575304,0.30486033316737193,0.31281662310181724,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,qwk,0.1159494240300003,0.11073679581723397,0.12120670055654677,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.55114812723508377,0.54474872953133824,0.55768986448334268,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,accuracy,0.061872458717118883,0.058760424446104069,0.064932889386772941,paired_true_class_stratified,2000
