group,split,role,rows,model,macro_f1,qwk,ordinal_mae,accuracy,slight_recall,serious_recall,fatal_recall,serious_or_fatal_recall,mean_asymmetric_cost,class0_precision,class0_recall,class1_precision,class1_recall,class2_precision,class2_recall,log_loss
random_seed_1103_2024,random_seed_1103,future,100927,dummy_most_frequent,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,8.9527910946701859
random_seed_1103_2024,random_seed_1103,future,100927,lightgbm_weighted,0.36663002798448024,0.097069482509991256,0.45180179733867054,0.59627255342970664,0.68938015766300198,0.3229091526286757,0.18308921438082557,0.41114523913997369,0.62238053246405822,0.77985892598833828,0.68938015766300198,0.27624509946275594,0.3229091526286757,0.043498892755457132,0.18308921438082557,0.80291860812119231
random_seed_1103_2024,random_seed_1103,future,100927,logistic_unweighted,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,0.61315202647422884
random_seed_1103_2024,random_seed_1103,future,100927,logistic_weighted,0.33977052851267003,0.10278517970652512,0.59623292082396184,0.54116341514163702,0.6434917872867727,0.21152458946832436,0.5452729693741678,0.47812038772986559,0.73939580092542134,0.78863272856519706,0.6434917872867727,0.26452639957548424,0.21152458946832436,0.040574684171414417,0.5452729693741678,0.93465735314868081
random_seed_1103_internal,random_seed_1103,internal,96408,dummy_most_frequent,0.29204261966379891,0,0.23493900921085387,0.77956186208613398,1,0,0,0,0.48437888971869553,0.77956186208613398,1,0,0,0,0,7.9453958367097925
random_seed_1103_internal,random_seed_1103,internal,96408,lightgbm_weighted,0.35365658720757809,0.1156070966327416,0.53871048045805325,0.54378267363704258,0.59270051625951359,0.37050468419462074,0.37482117310443491,0.54950122341426688,0.65614886731391586,0.82309355309595522,0.59270051625951359,0.23815073815073814,0.37050468419462074,0.045960880624506623,0.37482117310443491,0.87455679139980169
random_seed_1103_internal,random_seed_1103,internal,96408,logistic_unweighted,0.2920691573702347,-1.3729218788949282e-05,0.23497012696041822,0.77953074433656955,0.99994677736973758,5.0367684093885361e-05,0,4.7054394880481836e-05,0.48439963488507176,0.77956080204972877,0.99994677736973758,0.20000000000000001,5.0367684093885361e-05,0,0,0.56161412017173251
random_seed_1103_internal,random_seed_1103,internal,96408,logistic_weighted,0.32254226913778594,0.097481611316593941,0.70104140735208698,0.48175462617210191,0.53537974346692219,0.26619321043618416,0.66022889842632337,0.61453039713909274,0.79586756285785409,0.8308451547626422,0.53537974346692219,0.22922449687716864,0.26619321043618416,0.037034064919953459,0.66022889842632337,1.0132219895549035
random_seed_2207_2024,random_seed_2207,future,100927,dummy_most_frequent,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,8.9527910946701859
random_seed_2207_2024,random_seed_2207,future,100927,lightgbm_weighted,0.36601698611467898,0.099891387138914101,0.46476165941720254,0.5932208427873612,0.69018429170291862,0.30368735944328934,0.23901464713715045,0.41242171606366429,0.63335876425535287,0.78043108845362674,0.69018429170291862,0.2757996146435453,0.30368735944328934,0.045494867570650105,0.23901464713715045,0.80692747521288266
