model,metric,mean,std,min,max
dummy_most_frequent,accuracy,0.02795553398980739,5.6812977916852245e-06,0.02794931043989457,0.027959683023082604
dummy_most_frequent,fatal_recall,0,0,0,0
dummy_most_frequent,macro_f1,0.0059789356033123518,1.1959900977797892e-06,0.0059776254618021385,0.0059798090309858276
dummy_most_frequent,mean_asymmetric_cost,0.057073255109846691,2.8406488958637453e-05,0.057042137360282352,0.057094000276222912
dummy_most_frequent,ordinal_mae,0.028342929699884733,1.1362595583461585e-05,0.028330482600058993,0.028351227766435227
dummy_most_frequent,qwk,0,0,0,0
dummy_most_frequent,serious_or_fatal_recall,0,0,0,0
lightgbm_weighted,accuracy,-0.051645551027840297,0.0031806932614947604,-0.056728245626407214,-0.048507889330021481
lightgbm_weighted,fatal_recall,0.17009196419834782,0.038427592458891401,0.12097732729541238,0.21187355060825602
lightgbm_weighted,macro_f1,-0.011968621931438083,0.0018546197670762225,-0.01381937984471665,-0.0090812708830304567
lightgbm_weighted,mean_asymmetric_cost,-0.030310448250435829,0.0058678770065961399,-0.038933259294587463,-0.025137248534234713
lightgbm_weighted,ordinal_mae,-0.084153346079552285,0.0079765841030758223,-0.096866986607297811,-0.077286007059097939
lightgbm_weighted,qwk,0.018450352909068136,0.0041680407620486833,0.012892490740841867,0.023442321821745105
lightgbm_weighted,serious_or_fatal_recall,0.14382423062695535,0.0066031514532961895,0.13835598427429319,0.15469721431537775
logistic_unweighted,accuracy,0.027920360093318174,4.4715322032946501e-05,0.027866794206141576,0.027970055606270749
logistic_unweighted,fatal_recall,0,0,0,0
logistic_unweighted,macro_f1,0.0059937992219834648,2.4356309475598467e-05,0.005966225742394915,0.0060150880457726652
logistic_unweighted,mean_asymmetric_cost,0.057060993782721725,5.5974488735051463e-05,0.057000647027529883,0.057125118025787291
logistic_unweighted,ordinal_mae,0.028316053869946012,4.2413346888792913e-05,0.028278619684118406,0.028361600349623345
logistic_unweighted,qwk,7.5269366493779796e-05,7.6798108080329821e-05,-1.3729218788949282e-05,0.00018041834219373332
logistic_unweighted,serious_or_fatal_recall,6.7311708100024247e-05,2.7852949171103592e-05,4.7054394880481836e-05,0.00010127992343691292
logistic_weighted,accuracy,-0.067638469357687539,0.0087329605994809646,-0.077887337957747438,-0.057673318199225998
logistic_weighted,fatal_recall,0.1419278405192807,0.031772565675252183,0.10340972237446222,0.17331651331986841
logistic_weighted,macro_f1,-0.017953193221088459,0.0029853956399499555,-0.021512274611002302,-0.013380500575919108
logistic_weighted,mean_asymmetric_cost,-0.066026130904018723,0.01199005363181997,-0.080792403169609672,-0.05127246296058019
logistic_weighted,ordinal_mae,-0.12063762618148224,0.01687305039565197,-0.14010906466551376,-0.10120517453854172
logistic_weighted,qwk,-0.0024506488695346549,0.0023802889567533258,-0.0053035683899311792,0.00034581164441371826
logistic_weighted,serious_or_fatal_recall,0.15845034368798325,0.016965110041836387,0.13641000940922715,0.17341632365482057
