role,rows,positions_sha256,used_for_fit,used_for_selection
train,449903,0ca98ab725f7a98eef50a89e43f34aaf90ce9ed512886ffed3281a370ad33c31,True,False
validation,96408,3634c18fdda3a944ca96f3511b9df246fb81d9f95dd85a2020a82f0bd5d9ed0c,False,True
test,96408,1da790769d5e401254c8f643db95b924472075ab84516678e68cf2eafe84c25d,False,False
locked_temporal_test,100927,a2dce368d97485ec1273f992e14f5e65388ec111c21c7e207127a7df813808b6,False,False
