group_key,evaluation_scope,split_slug,sample_role,model,prediction_file,rows,slight_rows,serious_rows,fatal_rows,collision_ids_unique,aligned_with_group,D11_metrics_reproduced,bootstrap_seconds_for_group,bootstrap_stream_key
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,logistic_unweighted,results/d11/predictions/random_seed_2207__logistic_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0400030000018887,random_seed_2207__2024_diagnostic
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,logistic_weighted,results/d11/predictions/random_seed_2207__logistic_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0400030000018887,random_seed_2207__2024_diagnostic
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,ordered_logit_unweighted,results/d11/predictions/random_seed_2207__ordered_logit_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0400030000018887,random_seed_2207__2024_diagnostic
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,lightgbm_weighted,results/d11/predictions/random_seed_2207__lightgbm_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0400030000018887,random_seed_2207__2024_diagnostic
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,dummy_most_frequent,results/d11/predictions/random_seed_3301__dummy_most_frequent__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0030187999946065,random_seed_3301__internal_test
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,logistic_unweighted,results/d11/predictions/random_seed_3301__logistic_unweighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0030187999946065,random_seed_3301__internal_test
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,logistic_weighted,results/d11/predictions/random_seed_3301__logistic_weighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0030187999946065,random_seed_3301__internal_test
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,ordered_logit_unweighted,results/d11/predictions/random_seed_3301__ordered_logit_unweighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0030187999946065,random_seed_3301__internal_test
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,lightgbm_weighted,results/d11/predictions/random_seed_3301__lightgbm_weighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0030187999946065,random_seed_3301__internal_test
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,dummy_most_frequent,results/d11/predictions/random_seed_3301__dummy_most_frequent__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0315563999465667,random_seed_3301__2024_diagnostic
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,logistic_unweighted,results/d11/predictions/random_seed_3301__logistic_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0315563999465667,random_seed_3301__2024_diagnostic
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,logistic_weighted,results/d11/predictions/random_seed_3301__logistic_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0315563999465667,random_seed_3301__2024_diagnostic
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,ordered_logit_unweighted,results/d11/predictions/random_seed_3301__ordered_logit_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0315563999465667,random_seed_3301__2024_diagnostic
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,lightgbm_weighted,results/d11/predictions/random_seed_3301__lightgbm_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0315563999465667,random_seed_3301__2024_diagnostic
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,dummy_most_frequent,results/d11/predictions/random_seed_4409__dummy_most_frequent__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0383114999858662,random_seed_4409__internal_test
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,logistic_unweighted,results/d11/predictions/random_seed_4409__logistic_unweighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0383114999858662,random_seed_4409__internal_test
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,logistic_weighted,results/d11/predictions/random_seed_4409__logistic_weighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0383114999858662,random_seed_4409__internal_test
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,ordered_logit_unweighted,results/d11/predictions/random_seed_4409__ordered_logit_unweighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0383114999858662,random_seed_4409__internal_test
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,lightgbm_weighted,results/d11/predictions/random_seed_4409__lightgbm_weighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.0383114999858662,random_seed_4409__internal_test
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,dummy_most_frequent,results/d11/predictions/random_seed_4409__dummy_most_frequent__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0359324000310153,random_seed_4409__2024_diagnostic
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,logistic_unweighted,results/d11/predictions/random_seed_4409__logistic_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0359324000310153,random_seed_4409__2024_diagnostic
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,logistic_weighted,results/d11/predictions/random_seed_4409__logistic_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0359324000310153,random_seed_4409__2024_diagnostic
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,ordered_logit_unweighted,results/d11/predictions/random_seed_4409__ordered_logit_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0359324000310153,random_seed_4409__2024_diagnostic
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,lightgbm_weighted,results/d11/predictions/random_seed_4409__lightgbm_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0359324000310153,random_seed_4409__2024_diagnostic
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,dummy_most_frequent,results/d11/predictions/random_seed_5501__dummy_most_frequent__test.csv.gz,96408,75157,19854,1397,True,True,True,1.021580400003586,random_seed_5501__internal_test
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,logistic_unweighted,results/d11/predictions/random_seed_5501__logistic_unweighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.021580400003586,random_seed_5501__internal_test
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,logistic_weighted,results/d11/predictions/random_seed_5501__logistic_weighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.021580400003586,random_seed_5501__internal_test
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,ordered_logit_unweighted,results/d11/predictions/random_seed_5501__ordered_logit_unweighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.021580400003586,random_seed_5501__internal_test
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,lightgbm_weighted,results/d11/predictions/random_seed_5501__lightgbm_weighted__test.csv.gz,96408,75157,19854,1397,True,True,True,1.021580400003586,random_seed_5501__internal_test
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,dummy_most_frequent,results/d11/predictions/random_seed_5501__dummy_most_frequent__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0509779999847524,random_seed_5501__2024_diagnostic
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,logistic_unweighted,results/d11/predictions/random_seed_5501__logistic_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0509779999847524,random_seed_5501__2024_diagnostic
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,logistic_weighted,results/d11/predictions/random_seed_5501__logistic_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0509779999847524,random_seed_5501__2024_diagnostic
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,ordered_logit_unweighted,results/d11/predictions/random_seed_5501__ordered_logit_unweighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0509779999847524,random_seed_5501__2024_diagnostic
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,lightgbm_weighted,results/d11/predictions/random_seed_5501__lightgbm_weighted__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0509779999847524,random_seed_5501__2024_diagnostic
