year,field_name,raw_code,official_label,count,pct_of_year,handling
2018,road_surface_conditions,9,unknown (self reported),1035,0.00843967872140906,explicit_unknown_or_not_applicable_category
2018,road_surface_conditions,-1,Data missing or out of range,188,0.0015330044440820321,explicit_unknown_or_not_applicable_category
2018,road_surface_conditions,5,Flood over 3cm. deep,135,0.0011008276593142251,explicit_category
2018,special_conditions_at_site,0,None,118495,0.9662412851143638,explicit_category
2018,special_conditions_at_site,9,unknown (self reported),1415,0.011538304725404656,explicit_unknown_or_not_applicable_category
2018,special_conditions_at_site,4,Roadworks,1372,0.01118767073021568,explicit_category
2018,special_conditions_at_site,1,Auto traffic signal - out,284,0.0023158152240388146,explicit_category
2018,special_conditions_at_site,5,Road surface defective,282,0.002299506666123048,explicit_category
2018,special_conditions_at_site,7,Mud,276,0.002250580992375749,explicit_category
2018,special_conditions_at_site,3,Road sign or marking defective or obscured,183,0.0014922330492926164,explicit_category
2018,special_conditions_at_site,6,Oil or diesel,177,0.0014433073755453175,explicit_category
2018,special_conditions_at_site,-1,Data missing or out of range,109,0.0008888164064092633,explicit_unknown_or_not_applicable_category
2018,special_conditions_at_site,2,Auto signal part defective,42,0.00034247971623109226,explicit_category
2018,carriageway_hazards,0,None,117063,0.9545643576466751,explicit_category
2018,carriageway_hazards,13,Roadworks,1372,0.01118767073021568,explicit_category
2018,carriageway_hazards,17,Other object in carriageway,907,0.007395931014800016,explicit_category
2018,carriageway_hazards,99,unknown (self reported),906,0.007387776735842133,explicit_unknown_or_not_applicable_category
2018,carriageway_hazards,20,Any animal in carriageway (except ridden horse),370,0.003017083214416765,explicit_category
2018,carriageway_hazards,11,Defective traffic signals,325,0.0026501406613120234,explicit_category
2018,carriageway_hazards,21,Poor or defective road surface,282,0.002299506666123048,explicit_category
2018,carriageway_hazards,15,Mud,276,0.002250580992375749,explicit_category
2018,carriageway_hazards,16,Dislodged vehicle load in carriageway,240,0.0019570269498919556,explicit_category
2018,carriageway_hazards,19,Pedestrian in carriageway - not injured,230,0.0018754841603131243,explicit_category
2018,carriageway_hazards,14,Oil or diesel,214,0.0017450156969869939,explicit_category
2018,carriageway_hazards,18,Involvement with previous collision,186,0.0015166958861662658,explicit_category
2018,carriageway_hazards,12,Permanent road signing or markings defective or obscured or inadequate,183,0.0014922330492926164,explicit_category
2018,carriageway_hazards,-1,Data missing or out of range,81,0.0006604965955885351,explicit_unknown_or_not_applicable_category
2018,urban_or_rural_area,1,Urban,82583,0.6734048191788641,explicit_category
2018,urban_or_rural_area,2,Rural,39996,0.3261385411994944,explicit_category
2018,urban_or_rural_area,3,Unallocated,55,0.0004484853426835732,explicit_category
2018,urban_or_rural_area,-1,Data missing or out of range,1,8.154278957883149e-06,explicit_unknown_or_not_applicable_category
2018,trunk_road_flag,2,Non-trunk,103556,0.8444245117625474,explicit_category
2018,trunk_road_flag,-1,Data missing or out of range,10619,0.08659028825376117,explicit_unknown_or_not_applicable_category
2018,trunk_road_flag,1,Trunk (Roads managed by Highways England),8460,0.06898519998369144,explicit_category
2019,day_of_week,6,Friday,19056,0.16212904982303294,explicit_category
2019,day_of_week,5,Thursday,17973,0.1529148516199292,explicit_category
2019,day_of_week,4,Wednesday,17775,0.1512302613667302,explicit_category
2019,day_of_week,3,Tuesday,17598,0.14972433977674926,explicit_category
2019,day_of_week,2,Monday,16643,0.14159916961611763,explicit_category
2019,day_of_week,7,Saturday,15556,0.13235093928668662,explicit_category
2019,day_of_week,1,Sunday,12935,0.11005138851075415,explicit_category
2019,first_road_class,3,A,52342,0.4453273890552682,explicit_category
2019,first_road_class,6,Unclassified,40459,0.3442264497685815,explicit_category
2019,first_road_class,4,B,14538,0.12368976313640076,explicit_category
2019,first_road_class,5,C,6067,0.05161822760686088,explicit_category
2019,first_road_class,1,Motorway,3810,0.03241560032670841,explicit_category
2019,first_road_class,2,A(M),320,0.002722570106180234,explicit_category
2019,road_type,6,Single carriageway,85320,0.725905254560305,explicit_category
2019,road_type,3,Dual carriageway,18590,0.15816430710590798,explicit_category
2019,road_type,1,Roundabout,6880,0.058535257282875036,explicit_category
2019,road_type,2,One way street,2664,0.02266539613395045,explicit_category
2019,road_type,9,Unknown,2143,0.018232711679825757,explicit_unknown_or_not_applicable_category
2019,road_type,7,Slip road,1939,0.016497073237135857,explicit_category
2019,junction_detail,0,Not at junction or within 20 metres,61391,0.5223165668390961,explicit_category
2019,junction_detail,13,T or staggered junction,33660,0.28638034304383336,explicit_category
2019,junction_detail,16,Crossroads,11221,0.09546862237952627,explicit_category
2019,junction_detail,19,Other junction,5666,0.04820650694255377,explicit_category
2019,junction_detail,18,Using private drive or entrance,2722,0.023158861965695617,explicit_category
2019,junction_detail,17,Junction with more than four arms (not roundabout),1479,0.012583378709501769,explicit_category
2019,junction_detail,-1,Data missing or out of range,1397,0.011885720119793084,explicit_unknown_or_not_applicable_category
2019,junction_control,4,Give way or uncontrolled,50882,0.43290566294582083,explicit_category
2019,junction_control,-1,Data missing or out of range,49366,0.420007487067792,explicit_unknown_or_not_applicable_category
2019,junction_control,2,Auto traffic signal,13122,0.11164239041655323,explicit_category
2019,junction_control,9,unknown (self reported),3010,0.025609175061257827,explicit_unknown_or_not_applicable_category
2019,junction_control,3,Stop sign,773,0.006576708412741628,explicit_category
2019,junction_control,1,Authorised person,379,0.003224543969507215,explicit_category
2019,junction_control,0,Not at junction or within 20 metres,4,3.403212632725293e-05,explicit_category
2019,second_road_class,0,Not at junction or within 20 metres,48991,0.41681697522461203,explicit_category
2019,second_road_class,6,Unclassified,46782,0.3980227334603866,explicit_category
2019,second_road_class,3,A,12520,0.10652055540430166,explicit_category
