evaluation_scope,split_slug,protocol,seed,model,family,reporting_role,test_rows,transform_seconds,prediction_seconds,unseen_total,unseen_by_feature,preprocessor_action,preprocessor_fit_operations
random_reference_test,random_seed_2207,random_reference,2207,dummy_most_frequent,D8,primary_floor,96408,0.3251709000323899,0.001455899968277663,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_2207,random_reference,2207,logistic_unweighted,D8,secondary_linear_baseline,96408,0.31103779998375103,0.011111499974504113,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_2207,random_reference,2207,logistic_weighted,D8,primary_linear_comparator,96408,0.31721720000496134,0.011757900007069111,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_2207,random_reference,2207,ordered_logit_unweighted,D9,secondary_ordinal_baseline,96408,0.4648188999854028,0.008885000017471611,1,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 1, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_2207,random_reference,2207,lightgbm_weighted,D10,primary_nonlinear_comparator,96408,0.13314599997829646,5.709424800006673,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_3301,random_reference,3301,dummy_most_frequent,D8,primary_floor,96408,0.33467980002751574,0.001359199988655746,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_3301,random_reference,3301,logistic_unweighted,D8,secondary_linear_baseline,96408,0.33781009999802336,0.011695499997586012,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_3301,random_reference,3301,logistic_weighted,D8,primary_linear_comparator,96408,0.310655300039798,0.012316799955442548,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_3301,random_reference,3301,ordered_logit_unweighted,D9,secondary_ordinal_baseline,96408,1.4319005999714136,0.0252862999914214,1,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 1, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_3301,random_reference,3301,lightgbm_weighted,D10,primary_nonlinear_comparator,96408,0.4228538000024855,13.107868299994152,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
