seed,split,years,rows,share_of_relevant_pool,slight_n,slight_pct,serious_n,serious_pct,fatal_n,fatal_pct
year_based,train,2018;2019;2020;2021;2022,538461,0.724082426315747,421745,0.7832414975272118,108920,0.20228020228020227,7796,0.014478300192585907
year_based,validation,2023,104258,0.14019842774653532,79298,0.7605939112586084,23438,0.2248076886186192,1522,0.014598400122772354
year_based,test,2024,100927,0.13571914593771767,75858,0.7516125516462394,23567,0.23350540489660843,1502,0.014882043457152199
