protocol,seed,role_column,training_rows,validation_rows,slight_training_rows,serious_training_rows,fatal_training_rows,slight_class_weight,serious_class_weight,fatal_class_weight,selected_candidate_id,n_estimators,native_categorical_features,numeric_features,fit_seconds
temporal,year_based,temporal_role,538461,104258,421745,108920,7796,0.42558180891296876,1.647879177377892,23.022960492560287,C03,1200,16,1,43.03270490001887
random_reference,1103,random_role_seed_1103,449903,96408,350730,92650,6523,0.42758722283998135,1.6186472387119986,22.9905973733967,C03,1200,16,1,31.246850700001232
random_reference,2207,random_role_seed_2207,449903,96408,350730,92650,6523,0.42758722283998135,1.6186472387119986,22.9905973733967,C03,1200,16,1,31.531458399957046
random_reference,3301,random_role_seed_3301,449903,96408,350730,92650,6523,0.42758722283998135,1.6186472387119986,22.9905973733967,C03,1200,16,1,32.33278940001037
random_reference,4409,random_role_seed_4409,449903,96408,350730,92650,6523,0.42758722283998135,1.6186472387119986,22.9905973733967,C03,1200,16,1,31.60127879999345
random_reference,5501,random_role_seed_5501,449903,96408,350730,92650,6523,0.42758722283998135,1.6186472387119986,22.9905973733967,C03,1200,16,1,31.242478500003926
