role,rows,positions_sha256,used_for_fit,used_for_selection
train,22805,944892bb12fd06dde52327450e1e15b7c6d8ce143796bca26e5ad7f08b8b913d,True,False
validation,4887,6bef267f10ce7c01e4bd47fe3235ad2216dab97973b539e806700b68b5adc167,False,True
test,4887,0e699c43639ff97ef11b81f1d443e6aef71907218c796d70b114235566aa95d8,False,False
locked_temporal_test,10542,f92ead913b23c4fd79517a557a12bb7338bc539e32ab18912d7e162f4048a8ed,False,False
