role,rows,positions_sha256,used_for_fit,used_for_selection
train,22805,d05f6243083e54094e907b6f51e298d48052f9c631f2c75baba6624a0db4b9d0,True,False
validation,4887,fd765d7d4a3e0cd9f6917fd675df5f4708ebe8302c5fc8e013b57b7f98c9b144,False,True
test,4887,2f1ad2eab1dafc543968149e1235d8cb6db4ad9084f6919963447a896a04efdf,False,False
locked_temporal_test,10542,f92ead913b23c4fd79517a557a12bb7338bc539e32ab18912d7e162f4048a8ed,False,False
