candidate_id,complexity_rank,best_iteration,maximum_estimators,fit_seconds,macro_f1,qwk,ordinal_mae,accuracy,fatal_recall,serious_or_fatal_recall,mean_asymmetric_cost,class0_recall,class0_precision,class1_recall,class1_precision,class2_recall,class2_precision
C01,1,1199,1200,2.1374713000841439,0.33497673958387914,0.099192331541264056,0.70206670759156942,0.49334970329445466,0.54887218045112784,0.60279069767441862,0.81399631675874773,0.54984260230849946,0.83075703527546574,0.25690021231422505,0.22765757290686736,0.54887218045112784,0.056110684089162186
C02,3,1065,1200,3.0550425000255927,0.33673439288284773,0.09294711693655977,0.68180888070390833,0.4982606916308574,0.48120300751879697,0.58790697674418602,0.80069572334765704,0.55325288562434416,0.82641065830721006,0.2781316348195329,0.22703639514731369,0.48120300751879697,0.054191363251481793
C03,6,651,1200,3.2319540000753477,0.33644079506652153,0.084885960235104752,0.66318804992838143,0.50419480253734394,0.42105263157894735,0.56372093023255809,0.79066912216083485,0.56138509968520467,0.82023763894212343,0.28450106157112526,0.22351959966638865,0.42105263157894735,0.051899907321594066
C04,5,787,1200,2.1557400999590755,0.33505650548010407,0.084255911567317043,0.6797626355637405,0.4990791896869245,0.45864661654135336,0.57023255813953488,0.80376509105790872,0.55587618048268628,0.82099961255327392,0.27494692144373672,0.22521739130434781,0.45864661654135336,0.052768166089965395
C05,2,1194,1200,3.7014889999991283,0.33556888377875627,0.087656887537427952,0.67894413750767346,0.49866994065889092,0.44360902255639095,0.58232558139534885,0.80110497237569056,0.55377754459601258,0.82460937499999998,0.28343949044585987,0.22742759795570699,0.44360902255639095,0.051170858629661753
C06,4,1101,1200,3.6573298000730574,0.3377368020372522,0.082757876772795558,0.66605279312461629,0.50828729281767959,0.42105263157894735,0.56000000000000005,0.79435236341313686,0.56846799580272822,0.8208333333333333,0.27707006369426751,0.23076923076923078,0.42105263157894735,0.050179211469534052
