protocol,seed,evaluation_role,training_rows,validation_rows,training_years,validation_years,candidate_id,complexity_rank,num_leaves,max_depth,min_child_samples,min_split_gain,reg_alpha,reg_lambda,colsample_bytree,subsample,subsample_freq,best_iteration,best_validation_multi_logloss,fit_seconds,macro_f1,qwk,ordinal_mae,accuracy,slight_recall,serious_recall,fatal_recall,serious_or_fatal_recall,mean_asymmetric_cost
temporal,year_based,validation,538461,104258,2018;2019;2020;2021;2022,2023,C01,1,15,-1,100,0.0,0.0,1.0,1.0,1.0,0,1200,0.9413852077885388,32.508333599951584,0.345157231823666,0.11287278824035885,0.6094016766099484,0.5217537263327514,0.5874170849201745,0.2989162897858179,0.5321944809461235,0.5636618589743589,0.7275221086151662
temporal,year_based,validation,538461,104258,2018;2019;2020;2021;2022,2023,C02,3,31,-1,100,0.0,0.0,1.0,1.0,1.0,0,1200,0.9087546841466165,45.0081693000393,0.3514374073147712,0.1155014751406539,0.5765696637188513,0.5340501448330104,0.5980857020353603,0.32157180646812866,0.46977660972404733,0.5489583333333333,0.7000326114063189
temporal,year_based,validation,538461,104258,2018;2019;2020;2021;2022,2023,C03,6,63,-1,100,0.0,0.0,1.0,1.0,1.0,0,1200,0.8748089417278953,50.07918780000182,0.3572702671637942,0.11629359903346226,0.5416658673674922,0.5466918605766464,0.6087290978334888,0.3471285945899821,0.3876478318002628,0.5317307692307692,0.6716510963187478
temporal,year_based,validation,538461,104258,2018;2019;2020;2021;2022,2023,C04,5,31,-1,50,0.0,0.0,1.0,1.0,1.0,0,1200,0.9094306958702019,44.590085999981966,0.3515936815863114,0.11597174398147914,0.5763682403268814,0.5341748355042298,0.5979343741330172,0.32280911340558066,0.4671484888304862,0.5503605769230769,0.6995722150818162
temporal,year_based,validation,538461,104258,2018;2019;2020;2021;2022,2023,C05,2,31,-1,250,0.0,0.0,1.0,1.0,1.0,0,1200,0.9087751386757934,46.19176040001912,0.3505833604231175,0.11445112560318793,0.5788716453413647,0.5319304034222794,0.5948069308179273,0.32332110248314705,0.46846254927726677,0.5507612179487179,0.7019413378349862
temporal,year_based,validation,538461,104258,2018;2019;2020;2021;2022,2023,C06,4,31,-1,100,0.0,0.0,5.0,0.8,0.8,1,1200,0.9099431906117593,56.24638269998832,0.35228029183984044,0.1147276278915893,0.5771739338947611,0.5333020008056936,0.5946556029155843,0.3301902892738288,0.4645203679369251,0.5540865384615384,0.6995626234917225
