scope,mean,std,min,max
overall,0.93642857142857139,0.026654440224350449,0.90357142857142858,0.97142857142857142
Slight,0.90642857142857147,0.034937991718273137,0.875,0.96071428571428574
Serious,0.93857142857142861,0.043330716823151753,0.88571428571428568,0.98928571428571432
Fatal,0.95785714285714296,0.037745793116043876,0.89642857142857146,0.98928571428571432
