seed,model,metric,gap,ci_lower,ci_upper,design,iterations
1103,dummy_most_frequent,macro_f1,0.0059776254618021385,0.0059776254618021385,0.0059776254618021385,independent_true_class_stratified,2000
1103,logistic_unweighted,macro_f1,0.0060041631682378749,0.0059623397647509124,0.0060790750366147006,independent_true_class_stratified,2000
1103,logistic_weighted,macro_f1,-0.017228259374884147,-0.020906361972566796,-0.013502716208136773,independent_true_class_stratified,2000
1103,lightgbm_weighted,macro_f1,-0.012973440776902101,-0.017428259993239898,-0.0085700307262047623,independent_true_class_stratified,2000
1103,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
1103,logistic_unweighted,qwk,-1.3729218788949282e-05,-0.00012924100190536691,0.00014345003842641812,independent_true_class_stratified,2000
1103,logistic_weighted,qwk,-0.0053035683899311792,-0.011810659216564755,0.0014402924780928992,independent_true_class_stratified,2000
1103,lightgbm_weighted,qwk,0.018537614122750345,0.010289450996625723,0.026663567743416636,independent_true_class_stratified,2000
1103,dummy_most_frequent,ordinal_mae,0.028330482600058993,0.028330482600058993,0.028330482600058993,independent_true_class_stratified,2000
1103,logistic_unweighted,ordinal_mae,0.02829936485049464,0.028247501934554053,0.02834085518324711,independent_true_class_stratified,2000
1103,logistic_weighted,ordinal_mae,-0.10480848652812513,-0.11141451913064868,-0.09827799023521222,independent_true_class_stratified,2000
1103,lightgbm_weighted,ordinal_mae,-0.086908683119382713,-0.092389687227338035,-0.081551379779068803,independent_true_class_stratified,2000
1103,dummy_most_frequent,accuracy,0.02794931043989457,0.02794931043989457,0.02794931043989457,independent_true_class_stratified,2000
1103,logistic_unweighted,accuracy,0.027918192690330135,0.027866329774389631,0.027959683023082604,independent_true_class_stratified,2000
1103,logistic_weighted,accuracy,-0.059408788969535109,-0.063892347677301911,-0.05516932224806214,independent_true_class_stratified,2000
1103,lightgbm_weighted,accuracy,-0.052489879792664063,-0.056671430949713233,-0.048345417901988347,independent_true_class_stratified,2000
1103,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
1103,logistic_unweighted,fatal_recall,0,0,0,independent_true_class_stratified,2000
1103,logistic_weighted,fatal_recall,0.11495592905215557,0.078761794002846025,0.14896101811795048,independent_true_class_stratified,2000
1103,lightgbm_weighted,fatal_recall,0.19173195872360935,0.16013567508462725,0.22341322680869946,independent_true_class_stratified,2000
1103,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
1103,logistic_unweighted,serious_or_fatal_recall,4.7054394880481836e-05,0,0.0001411631846414455,independent_true_class_stratified,2000
1103,logistic_weighted,serious_or_fatal_recall,0.13641000940922715,0.12718887588681743,0.14586312171780624,independent_true_class_stratified,2000
1103,lightgbm_weighted,serious_or_fatal_recall,0.13835598427429319,0.12890472038374914,0.14711903479729282,independent_true_class_stratified,2000
1103,dummy_most_frequent,mean_asymmetric_cost,0.057042137360282352,0.057042137360282352,0.057042137360282352,independent_true_class_stratified,2000
1103,logistic_unweighted,mean_asymmetric_cost,0.057021392193906117,0.056969529277965503,0.057083627693034822,independent_true_class_stratified,2000
1103,logistic_weighted,mean_asymmetric_cost,-0.056471761932432751,-0.064161658793328566,-0.048767885292974017,independent_true_class_stratified,2000
1103,lightgbm_weighted,mean_asymmetric_cost,-0.03376833484985764,-0.040361191421319817,-0.027253774259667032,independent_true_class_stratified,2000
2207,dummy_most_frequent,macro_f1,0.0059776254618021385,0.0059776254618021385,0.0059776254618021385,independent_true_class_stratified,2000
2207,logistic_unweighted,macro_f1,0.005966225742394915,0.0059543313955588038,0.005976662749895667,independent_true_class_stratified,2000
2207,logistic_weighted,macro_f1,-0.018686503415567934,-0.022275697664759692,-0.015266694137348054,independent_true_class_stratified,2000
2207,lightgbm_weighted,macro_f1,-0.01381937984471665,-0.017948135609599385,-0.0093869442999592982,independent_true_class_stratified,2000
2207,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
2207,logistic_unweighted,qwk,2.7931707166639619e-05,-0.00018461846581585561,0.00037921892424952475,independent_true_class_stratified,2000
2207,logistic_weighted,qwk,-0.00055802954718398023,-0.0071476892933497824,0.0059428117361482362,independent_true_class_stratified,2000
2207,lightgbm_weighted,qwk,0.016085968598252731,0.0078826180885970785,0.024347349541825526,independent_true_class_stratified,2000
2207,dummy_most_frequent,ordinal_mae,0.028330482600058993,0.028330482600058993,0.028330482600058993,independent_true_class_stratified,2000
2207,logistic_unweighted,ordinal_mae,0.028278619684118406,0.028226756768177819,0.028330482600058993,independent_true_class_stratified,2000
2207,logistic_weighted,ordinal_mae,-0.12668661211835885,-0.13310748078130022,-0.12014260653454117,independent_true_class_stratified,2000
2207,lightgbm_weighted,ordinal_mae,-0.079103994885344975,-0.084528134016869455,-0.073554677311618424,independent_true_class_stratified,2000
2207,dummy_most_frequent,accuracy,0.02794931043989457,0.02794931043989457,0.02794931043989457,independent_true_class_stratified,2000
2207,logistic_unweighted,accuracy,0.02788707494076581,0.027824839441637161,0.02792856527351828,independent_true_class_stratified,2000
2207,logistic_weighted,accuracy,-0.070769413043534346,-0.074951708380781704,-0.066651660081811698,independent_true_class_stratified,2000
2207,lightgbm_weighted,accuracy,-0.049946425726536403,-0.053976574480821986,-0.045725618187890497,independent_true_class_stratified,2000
2207,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
2207,logistic_unweighted,fatal_recall,0,0,0,independent_true_class_stratified,2000
2207,logistic_weighted,fatal_recall,0.14757338331914149,0.11252778841373168,0.18178765937262481,independent_true_class_stratified,2000
2207,lightgbm_weighted,fatal_recall,0.13866775629632597,0.10522395985133791,0.1721391744721868,independent_true_class_stratified,2000
2207,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
2207,logistic_unweighted,serious_or_fatal_recall,4.7054394880481836e-05,0,0.0001411631846414455,independent_true_class_stratified,2000
2207,logistic_weighted,serious_or_fatal_recall,0.16773209048615878,0.15864668638780571,0.17660087609543412,independent_true_class_stratified,2000
2207,lightgbm_weighted,serious_or_fatal_recall,0.13877346556629999,0.12991195542538617,0.14780785879832953,independent_true_class_stratified,2000
2207,dummy_most_frequent,mean_asymmetric_cost,0.057042137360282352,0.057042137360282352,0.057042137360282352,independent_true_class_stratified,2000
2207,logistic_unweighted,mean_asymmetric_cost,0.057000647027529883,0.056938411528401178,0.057062882526658587,independent_true_class_stratified,2000
2207,logistic_weighted,mean_asymmetric_cost,-0.069673752971476266,-0.076874642459492187,-0.062563308972127446,independent_true_class_stratified,2000
2207,lightgbm_weighted,mean_asymmetric_cost,-0.027488883242780093,-0.0337383474273849,-0.020729233486926357,independent_true_class_stratified,2000
3301,dummy_most_frequent,macro_f1,0.0059798090309858276,0.0059798090309858276,0.0059798090309858276,independent_true_class_stratified,2000
3301,logistic_unweighted,macro_f1,0.0060146033588734382,0.0059754418671634224,0.0060873633737160955,independent_true_class_stratified,2000
3301,logistic_weighted,macro_f1,-0.021512274611002302,-0.025070987012153351,-0.018011909993864511,independent_true_class_stratified,2000
3301,lightgbm_weighted,macro_f1,-0.011282301387451232,-0.015782523680600961,-0.0071093795746429702,independent_true_class_stratified,2000
3301,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
3301,logistic_unweighted,qwk,0.00018041834219373332,-3.6932391155097832e-05,0.0005364906540687997,independent_true_class_stratified,2000
3301,logistic_weighted,qwk,-0.0025213770868931507,-0.0092527507018809792,0.0034858247145377048,independent_true_class_stratified,2000
3301,lightgbm_weighted,qwk,0.023442321821745105,0.015428984497448959,0.030959986567602543,independent_true_class_stratified,2000
3301,dummy_most_frequent,ordinal_mae,0.028351227766435227,0.028351227766435227,0.028351227766435227,independent_true_class_stratified,2000
3301,logistic_unweighted,ordinal_mae,0.028361600349623345,0.028330482600058993,0.028392718099187697,independent_true_class_stratified,2000
3301,logistic_weighted,ordinal_mae,-0.14010906466551376,-0.14636960078129843,-0.13376470464101073,independent_true_class_stratified,2000
3301,lightgbm_weighted,ordinal_mae,-0.096866986607297811,-0.10211041219928847,-0.091513990933146841,independent_true_class_stratified,2000
3301,dummy_most_frequent,accuracy,0.027959683023082604,0.027959683023082604,0.027959683023082604,independent_true_class_stratified,2000
3301,logistic_unweighted,accuracy,0.027959683023082604,0.02792856527351828,0.02799080077264704,independent_true_class_stratified,2000
3301,logistic_weighted,accuracy,-0.077887337957747438,-0.082042610435254099,-0.073817945501499324,independent_true_class_stratified,2000
3301,lightgbm_weighted,accuracy,-0.056728245626407214,-0.060731510467647909,-0.05253609865780387,independent_true_class_stratified,2000
3301,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
3301,logistic_unweighted,fatal_recall,0,0,0,independent_true_class_stratified,2000
3301,logistic_weighted,fatal_recall,0.17038365453077592,0.13515265258347975,0.20468130300139067,independent_true_class_stratified,2000
3301,lightgbm_weighted,fatal_recall,0.21187355060825602,0.18152717159749779,0.24218562794346263,independent_true_class_stratified,2000
3301,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
3301,logistic_unweighted,serious_or_fatal_recall,9.4113218201496407e-05,0,0.000235283045503741,independent_true_class_stratified,2000
3301,logistic_weighted,serious_or_fatal_recall,0.17341632365482057,0.16407455430540768,0.18210694705848404,independent_true_class_stratified,2000
3301,lightgbm_weighted,serious_or_fatal_recall,0.15469721431537775,0.14571171632737578,0.16344206431827368,independent_true_class_stratified,2000
3301,dummy_most_frequent,mean_asymmetric_cost,0.057094000276222912,0.057094000276222912,0.057094000276222912,independent_true_class_stratified,2000
3301,logistic_unweighted,mean_asymmetric_cost,0.057125118025787291,0.057073255109846677,0.057197726108104086,independent_true_class_stratified,2000
3301,logistic_weighted,mean_asymmetric_cost,-0.080792403169609672,-0.087909809829785177,-0.073731759529786264,independent_true_class_stratified,2000
3301,lightgbm_weighted,mean_asymmetric_cost,-0.038933259294587463,-0.045273288377383966,-0.032655159953164807,independent_true_class_stratified,2000
4409,dummy_most_frequent,macro_f1,0.0059798090309858276,0.0059798090309858276,0.0059798090309858276,independent_true_class_stratified,2000
4409,logistic_unweighted,macro_f1,0.0060150880457726652,0.0059798090309858276,0.006086517712552671,independent_true_class_stratified,2000
4409,logistic_weighted,macro_f1,-0.018958428128068805,-0.022716133564890401,-0.015476235887867529,independent_true_class_stratified,2000
4409,lightgbm_weighted,macro_f1,-0.0090812708830304567,-0.013414511374068547,-0.0047766497590536021,independent_true_class_stratified,2000
4409,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
4409,logistic_unweighted,qwk,6.0141953731940312e-05,0,0.00018192170306980404,independent_true_class_stratified,2000
4409,logistic_weighted,qwk,0.00034581164441371826,-0.0061984640821584171,0.0067069171089604585,independent_true_class_stratified,2000
4409,lightgbm_weighted,qwk,0.021293369261750628,0.013161774974023318,0.029074325107123412,independent_true_class_stratified,2000
4409,dummy_most_frequent,ordinal_mae,0.028351227766435227,0.028351227766435227,0.028351227766435227,independent_true_class_stratified,2000
4409,logistic_unweighted,ordinal_mae,0.028361600349623345,0.028351227766435227,0.028382604830579281,independent_true_class_stratified,2000
4409,logistic_weighted,ordinal_mae,-0.13037879305687172,-0.13683533698985401,-0.12439607879209162,independent_true_class_stratified,2000
4409,lightgbm_weighted,ordinal_mae,-0.080601058726637975,-0.086073601600290858,-0.075483502381825121,independent_true_class_stratified,2000
4409,dummy_most_frequent,accuracy,0.027959683023082604,0.027959683023082604,0.027959683023082604,independent_true_class_stratified,2000
4409,logistic_unweighted,accuracy,0.027970055606270749,0.027959683023082604,0.027991060087226738,independent_true_class_stratified,2000
4409,logistic_weighted,accuracy,-0.07245348861839479,-0.076843916306366097,-0.068474682506520335,independent_true_class_stratified,2000
4409,lightgbm_weighted,accuracy,-0.048507889330021481,-0.052725200930339083,-0.044542014608061731,independent_true_class_stratified,2000
4409,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
4409,logistic_unweighted,fatal_recall,0,0,0,independent_true_class_stratified,2000
