split,cohort,start,rows,max_additivity_error
random_seed_5501,internal,9000,1000,5.6843418860808015e-14
random_seed_5501,future,0,1000,6.7501559897209518e-14
random_seed_5501,future,1000,1000,6.3948846218409017e-14
random_seed_5501,future,2000,1000,9.7699626167013776e-14
random_seed_5501,future,3000,1000,6.7501559897209518e-14
random_seed_5501,future,4000,1000,6.5725203057809267e-14
random_seed_5501,future,5000,1000,7.5495165674510645e-14
random_seed_5501,future,6000,1000,6.0396132539608516e-14
random_seed_5501,future,7000,1000,7.2830630415410269e-14
random_seed_5501,future,8000,1000,7.638334409421077e-14
random_seed_5501,future,9000,1000,5.3290705182007514e-14
