seed,scope,rho,ci_lower,ci_upper,internal_rows,future_rows,iterations
1103,overall,0.91785714285714282,0.87857142857142856,0.93214285714285716,10000,10000,2000
1103,Slight,0.90000000000000002,0.87142857142857144,0.93571428571428572,10000,10000,2000
1103,Serious,0.97499999999999998,0.95714285714285718,0.9821428571428571,10000,10000,2000
1103,Fatal,0.94999999999999996,0.91428571428571426,0.96785714285714286,10000,10000,2000
2207,overall,0.90357142857142858,0.90000000000000002,0.92142857142857137,10000,10000,2000
2207,Slight,0.91785714285714282,0.88214285714285712,0.94999999999999996,10000,10000,2000
2207,Serious,0.88571428571428568,0.875,0.88928571428571423,10000,10000,2000
2207,Fatal,0.98928571428571432,0.96071428571428574,0.99642857142857144,10000,10000,2000
3301,overall,0.93928571428571428,0.92500000000000004,0.93928571428571428,10000,10000,2000
3301,Slight,0.87857142857142856,0.86071428571428577,0.88928571428571423,10000,10000,2000
3301,Serious,0.98928571428571432,0.96785714285714286,0.99285714285714288,10000,10000,2000
3301,Fatal,0.89642857142857146,0.88571428571428568,0.9107142857142857,10000,10000,2000
4409,overall,0.97142857142857142,0.94999999999999996,0.97857142857142854,10000,10000,2000
4409,Slight,0.875,0.82499999999999996,0.91785714285714282,10000,10000,2000
4409,Serious,0.93214285714285716,0.92464285714285721,0.9464285714285714,10000,10000,2000
4409,Fatal,0.98571428571428577,0.97857142857142854,0.99285714285714288,10000,10000,2000
5501,overall,0.94999999999999996,0.94285714285714284,0.96071428571428574,10000,10000,2000
5501,Slight,0.96071428571428574,0.93928571428571428,0.9642857142857143,10000,10000,2000
5501,Serious,0.9107142857142857,0.90714285714285714,0.95357142857142863,10000,10000,2000
5501,Fatal,0.96785714285714286,0.9642857142857143,0.97499999999999998,10000,10000,2000
