role,rows,positions_sha256,used_for_fit,used_for_selection
train,449903,8ea2f8eafb88515e6cc7461a8180d0b222c7fda4d2b9f93e09796b256a987997,True,False
validation,96408,b7539d7d94e17cec0ed6be9646c3a374e59aeb942770b608037f3e506c712c91,False,True
test,96408,845fd671e43cc8051808e3728c0fffca7d2ebaf577587574238c09e45447b79a,False,False
locked_temporal_test,100927,a2dce368d97485ec1273f992e14f5e65388ec111c21c7e207127a7df813808b6,False,False
