iteration,validation_multi_logloss,change_from_previous_iteration,is_checkpoint
1,1.0902165686167906,,False
2,1.0826427515638057,-0.007573817052984877,False
3,1.0757821139276031,-0.006860637636202593,False
4,1.069605233212057,-0.006176880715546229,False
5,1.0639726933840987,-0.005632539827958194,False
6,1.058826567083336,-0.005146126300762832,False
7,1.0540985399134755,-0.004728027169860427,False
8,1.04967018643097,-0.004428353482505365,False
9,1.045635974530856,-0.004034211900113993,False
10,1.0418399505113676,-0.003796024019488531,False
11,1.0383982637153988,-0.0034416867959687902,False
12,1.0351822108837825,-0.0032160528316163006,False
13,1.0321112999047242,-0.0030709109790583167,False
14,1.029202849151125,-0.0029084507535992454,False
15,1.026690140216121,-0.0025127089350038823,False
16,1.0240809872686654,-0.002609152947455673,False
17,1.0216518431468913,-0.002429144121774085,False
18,1.0194265273005505,-0.0022253158463407807,False
19,1.0172647611732182,-0.0021617661273323208,False
20,1.0152823702303042,-0.0019823909429139697,False
21,1.0133676322236442,-0.0019147380066599773,False
22,1.0116304559333777,-0.0017371762902664845,False
23,1.0099618352394821,-0.0016686206938956172,False
24,1.008251216635573,-0.0017106186039090865,False
25,1.006810360043864,-0.0014408565917090055,False
26,1.005457570819004,-0.0013527892248599294,False
27,1.0040746914603755,-0.0013828793586285748,False
28,1.0028442761468468,-0.0012304153135287432,False
29,1.0014607055009765,-0.0013835706458702468,False
30,1.0003024525618818,-0.0011582529390947727,False
31,0.999045975852943,-0.001256476708938803,False
32,0.9978516383934228,-0.001194337459520134,False
33,0.9968015981197158,-0.0010500402737070313,False
34,0.9957580803292088,-0.0010435177905070425,False
35,0.9947618498524182,-0.0009962304767905383,False
36,0.9937459917233298,-0.0010158581290884428,False
37,0.9927738020979475,-0.0009721896253822582,False
38,0.9918783367213307,-0.0008954653766167775,False
39,0.9910244749326667,-0.0008538617886640898,False
40,0.9901988969519981,-0.0008255779806685126,False
41,0.9893784534086003,-0.0008204435433978308,False
42,0.9886637958528836,-0.0007146575557167578,False
43,0.9878769930129297,-0.0007868028399538041,False
