year,field_name,row_count,missing_count,missing_pct,unique_non_missing
2022,advisorySpeed,10972,10374,0.9454976303317536,9
2022,speedLimit,10972,191,0.017407947502734233,11
2022,temporarySpeedLimit,10972,10633,0.9691031717098068,9
2022,NumberOfLanes,10972,208,0.018957345971563982,9
2022,crashSHDescription,10972,0,0.0,3
2022,flatHill,10972,0,0.0,3
2022,light,10972,0,0.0,5
2022,roadCharacter,10972,0,0.0,8
2022,roadLane,10972,0,0.0,4
2022,roadSurface,10972,0,0.0,4
2022,streetLight,10972,0,0.0,4
2022,trafficControl,10972,0,0.0,8
2022,urban,10972,0,0.0,2
2022,weatherA,10972,0,0.0,7
2022,weatherB,10972,0,0.0,4
2022,holiday,10972,10237,0.9330113014947138,4
2023,advisorySpeed,10962,10346,0.9438058748403576,10
2023,speedLimit,10962,159,0.014504652435686919,12
2023,temporarySpeedLimit,10962,10531,0.9606823572340814,9
2023,NumberOfLanes,10962,171,0.015599343185550082,9
2023,crashSHDescription,10962,3,0.0002736726874657909,3
2023,flatHill,10962,0,0.0,3
2023,light,10962,0,0.0,5
2023,roadCharacter,10962,0,0.0,9
2023,roadLane,10962,0,0.0,4
2023,roadSurface,10962,0,0.0,4
2023,streetLight,10962,0,0.0,4
2023,trafficControl,10962,0,0.0,7
2023,urban,10962,0,0.0,2
2023,weatherA,10962,0,0.0,7
2023,weatherB,10962,0,0.0,4
2023,holiday,10962,10274,0.9372377303411786,4
2024,advisorySpeed,10645,10094,0.9482386096759042,9
2024,speedLimit,10645,187,0.01756693283231564,12
2024,temporarySpeedLimit,10645,10278,0.9655237200563644,9
2024,NumberOfLanes,10645,168,0.015782057303898544,9
2024,crashSHDescription,10645,0,0.0,3
2024,flatHill,10645,0,0.0,3
2024,light,10645,0,0.0,5
2024,roadCharacter,10645,0,0.0,9
2024,roadLane,10645,0,0.0,4
2024,roadSurface,10645,0,0.0,4
2024,streetLight,10645,0,0.0,4
2024,trafficControl,10645,0,0.0,8
2024,urban,10645,0,0.0,2
2024,weatherA,10645,0,0.0,7
2024,weatherB,10645,0,0.0,4
2024,holiday,10645,10074,0.9463597933302019,4
2025,advisorySpeed,10542,9987,0.9473534433693797,9
2025,speedLimit,10542,161,0.015272244355909695,11
2025,temporarySpeedLimit,10542,10185,0.9661354581673307,9
2025,NumberOfLanes,10542,148,0.014039081768165434,9
2025,crashSHDescription,10542,0,0.0,3
2025,flatHill,10542,0,0.0,3
2025,light,10542,0,0.0,5
2025,roadCharacter,10542,0,0.0,9
2025,roadLane,10542,0,0.0,4
2025,roadSurface,10542,0,0.0,4
2025,streetLight,10542,0,0.0,4
2025,trafficControl,10542,0,0.0,7
2025,urban,10542,0,0.0,2
2025,weatherA,10542,0,0.0,7
2025,weatherB,10542,0,0.0,4
2025,holiday,10542,9972,0.9459305634604439,4
