year,field_name,observed_value,count,pct
2023,advisorySpeed,95.0,10,0.0009122422915526364
2023,advisorySpeed,15.0,4,0.00036489691662105453
2023,advisorySpeed,30.0,1,9.122422915526363e-05
2023,speedLimit,50.0,5436,0.49589490968801314
2023,speedLimit,100.0,3263,0.29766465973362527
2023,speedLimit,80.0,942,0.08593322386425835
2023,speedLimit,60.0,529,0.048257617223134465
2023,speedLimit,70.0,219,0.019978106185002738
2023,speedLimit,30.0,213,0.019430760810071154
2023,speedLimit,__MISSING__,159,0.014504652435686919
2023,speedLimit,40.0,96,0.00875752599890531
2023,speedLimit,10.0,34,0.0031016237912789638
2023,speedLimit,110.0,32,0.0029191753329684362
2023,speedLimit,20.0,21,0.0019157088122605363
2023,speedLimit,90.0,16,0.0014595876664842181
2023,speedLimit,5.0,2,0.00018244845831052726
2023,temporarySpeedLimit,__MISSING__,10531,0.9606823572340814
2023,temporarySpeedLimit,30.0,187,0.0170589308520343
2023,temporarySpeedLimit,40.0,67,0.006112023353402663
2023,temporarySpeedLimit,50.0,64,0.0058383506659368724
2023,temporarySpeedLimit,80.0,39,0.0035577449370552817
2023,temporarySpeedLimit,70.0,28,0.002554278416347382
2023,temporarySpeedLimit,60.0,21,0.0019157088122605363
2023,temporarySpeedLimit,10.0,12,0.0010946907498631637
2023,temporarySpeedLimit,20.0,8,0.0007297938332421091
2023,temporarySpeedLimit,90.0,5,0.0004561211457763182
2023,NumberOfLanes,2.0,8583,0.7829775588396278
2023,NumberOfLanes,4.0,802,0.07316183178252143
2023,NumberOfLanes,3.0,689,0.06285349388797665
2023,NumberOfLanes,1.0,377,0.03439153439153439
2023,NumberOfLanes,__MISSING__,171,0.015599343185550082
2023,NumberOfLanes,5.0,169,0.015416894727239555
2023,NumberOfLanes,0.0,84,0.007662835249042145
2023,NumberOfLanes,6.0,76,0.006933041415800037
2023,NumberOfLanes,8.0,7,0.0006385696040868455
2023,NumberOfLanes,7.0,4,0.00036489691662105453
2023,crashSHDescription,No,7749,0.7068965517241379
2023,crashSHDescription,Yes,3208,0.29264732713008573
2023,crashSHDescription,__MISSING__,3,0.0002736726874657909
2023,crashSHDescription,Unknown,2,0.00018244845831052726
2023,flatHill,Flat,8637,0.7879036672140121
