seed,split,years,rows,minor_n,minor_pct,serious_n,serious_pct,fatal_n,fatal_pct,share_of_relevant_pool
year_based,train,2022;2023,21934,17107,0.7799307011944926,4188,0.1909364457007386,639,0.029132853104768854,0.5086616729667679
year_based,validation,2024,10645,8306,0.7802724283701268,2090,0.19633630812588068,249,0.023391263503992486,0.24686347719208737
year_based,test,2025,10542,8222,0.7799279074179473,2061,0.19550369948776322,259,0.024568393094289508,0.24447484984114468
