evaluation_group,model,source_split,role_column,role_value,rows,years,prediction_file,prediction_sha256,model_protocol_sha256,preprocessing_refit,threshold_tuning
random_seed_3301_internal_test,lightgbm_weighted,random_seed_3301,random_role_seed_3301,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_3301_internal_test__lightgbm_weighted.csv.gz,55afa2c27b5e8340a336f27be4fe38629a890558f521707019b98db3d1a6858c,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_3301_2025_diagnostic,dummy_most_frequent,random_seed_3301,random_role_seed_3301,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_3301_2025_diagnostic__dummy_most_frequent.csv.gz,40f9d4ee6a055dabce5fd461cab30f08fe08ea323f52dc3791277659cf143038,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_3301_2025_diagnostic,logistic_weighted,random_seed_3301,random_role_seed_3301,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_3301_2025_diagnostic__logistic_weighted.csv.gz,73e022f3608268d2d50f60bff1ec884ad84633448feaafac181f5a0ddabd84e6,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_3301_2025_diagnostic,lightgbm_weighted,random_seed_3301,random_role_seed_3301,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_3301_2025_diagnostic__lightgbm_weighted.csv.gz,5a67a8387bd3c77bd9b43bee61b732fbfcd48ad9f5ffd1cda506b47f3b18236a,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_4409_internal_test,dummy_most_frequent,random_seed_4409,random_role_seed_4409,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_4409_internal_test__dummy_most_frequent.csv.gz,5f7b0a35e158ac463d07b6ab23cd54ece7ccc65ffc91482c77b852d3c9990e6c,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_4409_internal_test,logistic_weighted,random_seed_4409,random_role_seed_4409,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_4409_internal_test__logistic_weighted.csv.gz,4ea894056a8229fc8c023d6a38264e786b0c6cd6e5ea14582843b7f6faf0a4f8,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_4409_internal_test,lightgbm_weighted,random_seed_4409,random_role_seed_4409,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_4409_internal_test__lightgbm_weighted.csv.gz,a671819fa5d92b2cf632507660562ffe1e198f4cafed9aa4d8b3b8f594154486,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_4409_2025_diagnostic,dummy_most_frequent,random_seed_4409,random_role_seed_4409,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_4409_2025_diagnostic__dummy_most_frequent.csv.gz,40f9d4ee6a055dabce5fd461cab30f08fe08ea323f52dc3791277659cf143038,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_4409_2025_diagnostic,logistic_weighted,random_seed_4409,random_role_seed_4409,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_4409_2025_diagnostic__logistic_weighted.csv.gz,945f8bf0874e186d5bc6bda87d0db973b8bbd7aa6a24d1c12dba34727b3ec9b1,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_4409_2025_diagnostic,lightgbm_weighted,random_seed_4409,random_role_seed_4409,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_4409_2025_diagnostic__lightgbm_weighted.csv.gz,c130c157f9db67f5c5bbabf1601fad734581e50400f0eb916a2a3d2bdd01bea7,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_5501_internal_test,dummy_most_frequent,random_seed_5501,random_role_seed_5501,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_5501_internal_test__dummy_most_frequent.csv.gz,bb8a39454bbfdeddd1a046483111d7d5adfe3f3a0a560e6849726a0ecca14bac,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_5501_internal_test,logistic_weighted,random_seed_5501,random_role_seed_5501,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_5501_internal_test__logistic_weighted.csv.gz,0d28ae7a23831b87efab963fe421ddbc165c7f3581d923ee3bb32a468bfc1594,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_5501_internal_test,lightgbm_weighted,random_seed_5501,random_role_seed_5501,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_5501_internal_test__lightgbm_weighted.csv.gz,35919df38f7d07b2f83eb379a0a1c2a0067662bd0ab722e013ab43069a849b3c,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_5501_2025_diagnostic,dummy_most_frequent,random_seed_5501,random_role_seed_5501,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_5501_2025_diagnostic__dummy_most_frequent.csv.gz,40f9d4ee6a055dabce5fd461cab30f08fe08ea323f52dc3791277659cf143038,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_5501_2025_diagnostic,logistic_weighted,random_seed_5501,random_role_seed_5501,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_5501_2025_diagnostic__logistic_weighted.csv.gz,5d4d48c0ff0fdbd71b4939d8ce096ce044a1b72b8fe3584ea3e5a4244ff48f0a,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_5501_2025_diagnostic,lightgbm_weighted,random_seed_5501,random_role_seed_5501,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_5501_2025_diagnostic__lightgbm_weighted.csv.gz,6eb823514c86065b699c2b23ae42981ecca506fcdeb528385c976dc1cf7bee85,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
