seed,split,years,rows,minor_n,minor_pct,serious_n,serious_pct,fatal_n,fatal_pct,share_of_relevant_pool
1103,train,2022;2023;2024,22805,17789,0.7800482350361763,4394,0.1926770445077834,622,0.027274720456040343,0.6999907916142301
1103,validation,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
1103,test,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
2207,train,2022;2023;2024,22805,17789,0.7800482350361763,4394,0.1926770445077834,622,0.027274720456040343,0.6999907916142301
2207,validation,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
2207,test,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
3301,train,2022;2023;2024,22805,17789,0.7800482350361763,4394,0.1926770445077834,622,0.027274720456040343,0.6999907916142301
3301,validation,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
3301,test,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
4409,train,2022;2023;2024,22805,17789,0.7800482350361763,4394,0.1926770445077834,622,0.027274720456040343,0.6999907916142301
4409,validation,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
4409,test,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
5501,train,2022;2023;2024,22805,17789,0.7800482350361763,4394,0.1926770445077834,622,0.027274720456040343,0.6999907916142301
5501,validation,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
5501,test,2022;2023;2024,4887,3812,0.7800286474319623,942,0.19275629220380602,133,0.027215060364231634,0.150004604192885
