analysis_variant,scenario,feature_count,dropped_features,cohort,cohort_rows,model,macro_f1,qwk,ordinal_mae,accuracy,minor_recall,serious_recall,fatal_recall,minor_precision,serious_precision,fatal_precision,serious_or_fatal_recall,mean_asymmetric_cost
posthoc_ablation,drop_sparse_speed,13,feature_advisory_speed;feature_temporary_speed_limit,test_2025,10542,lightgbm_weighted,0.32320867220906024,0.088851423301615107,0.7291785239992411,0.47362929235439194,0.52444660666504506,0.26734594856865601,0.50193050193050193,0.83179012345679015,0.22471451876019577,0.044735030970406056,0.62413793103448278,0.83636881047239608
posthoc_ablation,drop_sparse_speed,13,feature_advisory_speed;feature_temporary_speed_limit,test_2025,10542,logistic_weighted,0.32532461674772783,0.099318756998408753,0.75194460254221207,0.47372415101498766,0.5280953539284845,0.23823386705482774,0.6216216216216216,0.8400077384407042,0.23492822966507176,0.049040511727078892,0.64353448275862069,0.84898501233162593
posthoc_ablation,drop_urban,14,feature_urban,test_2025,10542,lightgbm_weighted,0.3284346174466678,0.089557907107103762,0.6987288939480174,0.48966040599506733,0.54560934079299439,0.2717127607957302,0.44787644787644787,0.82966524875161829,0.2282918874847126,0.043251304996271438,0.60301724137931034,0.81322329728704235
posthoc_ablation,drop_urban,14,feature_urban,test_2025,10542,logistic_weighted,0.32718244248695855,0.10174631293685088,0.7400872699677481,0.47723392145702903,0.5312576015567988,0.24551188743328481,0.60617760617760619,0.83999999999999997,0.23307231690465224,0.049511195206559444,0.64137931034482754,0.83836084234490604
primary_reference,full15_primary,15,,test_2025,10542,lightgbm_weighted,0.32732870288717358,0.08872990433262562,0.69768544868146465,0.48947068867387594,0.54658234006324491,0.26637554585152839,0.45173745173745172,0.82762430939226517,0.22444807849550286,0.043885971492873217,0.59655172413793101,0.81341301460823379
primary_reference,full15_primary,15,,test_2025,10542,logistic_weighted,0.32805050765411542,0.10331429835713046,0.73752608613166382,0.47865680136596472,0.53296035027973732,0.245026686074721,0.61389961389961389,0.84026845637583891,0.23314866112650046,0.05030053780449225,0.64094827586206893,0.83551508252703477
