dataset,seed,model,metric,gap,ci_lower,ci_upper,design,iterations
cas,3301,dummy_most_frequent,macro_f1,2.1197338917866571e-05,2.1197338917866571e-05,2.1197338917866571e-05,independent_true_class_stratified,2000
cas,3301,dummy_most_frequent,mean_asymmetric_cost,-0.007738521781796126,-0.007738521781796126,-0.007738521781796126,independent_true_class_stratified,2000
cas,3301,dummy_most_frequent,ordinal_mae,-0.002545927255927033,-0.002545927255927033,-0.002545927255927033,independent_true_class_stratified,2000
cas,3301,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
cas,3301,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,accuracy,0.0075487462293827856,-0.0090085680255388052,0.024173340838173192,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,fatal_recall,0.042267831741515938,-0.055882950619792759,0.14427961796382854,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,macro_f1,0.00012728669891626243,-0.013952286515177454,0.014859896998923814,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,mean_asymmetric_cost,0.00056053374272213574,-0.027742767711346462,0.030368110707801599,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,ordinal_mae,0.012623014912200747,-0.012433917753523347,0.037660818621506296,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,qwk,-0.0038286166019572132,-0.028188205668183496,0.021378554938340809,independent_true_class_stratified,2000
cas,3301,lightgbm_revised,serious_or_fatal_recall,-0.050890136327185198,-0.087624548917401818,-0.015924819566960655,independent_true_class_stratified,2000
cas,3301,logistic_weighted,accuracy,0.0063981555143977076,-0.0096656083724384924,0.022470903023003967,independent_true_class_stratified,2000
cas,3301,logistic_weighted,fatal_recall,0.097947571631782138,0.00080776264986785501,0.19650985572038199,independent_true_class_stratified,2000
cas,3301,logistic_weighted,macro_f1,0.00035753804896088148,-0.012943821487434086,0.014082385729707389,independent_true_class_stratified,2000
cas,3301,logistic_weighted,mean_asymmetric_cost,0.011402721424512707,-0.018475805917200598,0.041770874349950353,independent_true_class_stratified,2000
