scenario,comparison,model_a,model_b,model_a_variant,model_b_variant,metric,model_a_value,model_b_value,point_difference_a_minus_b,ci_lower,ci_upper,valid_iterations,bootstrap_design,bootstrap_seed,higher_is_better
drop_sparse_speed,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_sparse_speed,drop_sparse_speed,mean_asymmetric_cost,0.83636881047239608,0.84898501233162593,-0.012616201859229847,-0.027224435590969435,0.0018971732119142937,2000,paired_stratified,20262801,False
drop_sparse_speed,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_sparse_speed,drop_sparse_speed,minor_recall,0.52444660666504506,0.5280953539284845,-0.0036487472634394447,-0.012770615422038389,0.0055947458039405928,2000,paired_stratified,20262801,True
drop_sparse_speed,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_sparse_speed,drop_sparse_speed,ordinal_mae,0.7291785239992411,0.75194460254221207,-0.022766078542970969,-0.03453092392335428,-0.01052931132612411,2000,paired_stratified,20262801,False
drop_sparse_speed,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_sparse_speed,drop_sparse_speed,qwk,0.088851423301615107,0.099318756998408753,-0.010467333696793646,-0.020656922215931524,-0.00049141453267851222,2000,paired_stratified,20262801,True
drop_sparse_speed,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_sparse_speed,drop_sparse_speed,serious_or_fatal_recall,0.62413793103448278,0.64353448275862069,-0.0193965517241379,-0.036206896551724155,-0.0021551724137931468,2000,paired_stratified,20262801,True
drop_sparse_speed,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_sparse_speed,drop_sparse_speed,serious_recall,0.26734594856865601,0.23823386705482774,0.02911208151382827,0.008733624454148492,0.049987869966035853,2000,paired_stratified,20262801,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,accuracy,0.48966040599506733,0.48947068867387594,0.00018971732119138496,-0.0032251944602542659,0.0037943464238285318,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,fatal_recall,0.44787644787644787,0.45173745173745172,-0.0038610038610038533,-0.019305019305019322,0.011583011583011615,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,macro_f1,0.3284346174466678,0.32732870288717358,0.0011059145594942144,-0.0019664867473685442,0.0043265760461961063,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,mean_asymmetric_cost,0.81322329728704235,0.81341301460823379,-0.00018971732119144047,-0.005312084993359889,0.0050275090115727838,2000,paired_stratified,20261012,False
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,minor_recall,0.54560934079299439,0.54658234006324491,-0.00097299927025051858,-0.0048649963512527039,0.0030406227195329816,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,ordinal_mae,0.6987288939480174,0.69768544868146465,0.001043445266552756,-0.0031327072661733843,0.0052172263327642243,2000,paired_stratified,20261012,False
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,qwk,0.089557907107103762,0.088729904332625731,0.00082800277447803161,-0.0031246409064631165,0.0046515932979397821,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,serious_or_fatal_recall,0.60301724137931034,0.59655172413793101,0.0064655172413793371,-0.00043103448275860767,0.01379310344827589,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,lightgbm_weighted,lightgbm_weighted,drop_urban,full15_primary,serious_recall,0.2717127607957302,0.26637554585152839,0.0053372149442018069,-0.0029112081513828492,0.013585638039786518,2000,paired_stratified,20261012,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,accuracy,0.47723392145702903,0.47865680136596472,-0.0014228799089356925,-0.0030354771390628255,0.00018971732119138496,2000,paired_stratified,20260912,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,fatal_recall,0.60617760617760619,0.61389961389961389,-0.0077220077220077066,-0.023166023166023231,0.0077220077220077066,2000,paired_stratified,20260912,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,macro_f1,0.32718244248695855,0.32805050765411542,-0.00086806516715687287,-0.0021903227733535784,0.00040984007078040749,2000,paired_stratified,20260912,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,mean_asymmetric_cost,0.83836084234490604,0.83551508252703477,0.002845759817871274,0.00018971732119144047,0.0055018023145513295,2000,paired_stratified,20260912,False
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,minor_recall,0.5312576015567988,0.53296035027973732,-0.0017027487229385185,-0.0036487472634395557,0.00012162490878142584,2000,paired_stratified,20260912,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,ordinal_mae,0.7400872699677481,0.73752608613166382,0.0025611838360842798,0.00018971732119144047,0.0048377916903813434,2000,paired_stratified,20260912,False
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,qwk,0.10174631293685088,0.10331429835713046,-0.0015679854202795829,-0.0032730082278285473,8.6357511920276406e-05,2000,paired_stratified,20260912,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,serious_or_fatal_recall,0.64137931034482754,0.64094827586206893,0.00043103448275860767,-0.0017241379310345417,0.0025862068965517571,2000,paired_stratified,20260912,True
drop_urban,ablation_minus_full15,logistic_weighted,logistic_weighted,drop_urban,full15_primary,serious_recall,0.24551188743328481,0.245026686074721,0.00048520135856380819,-0.0014556040756914246,0.0024260067928190418,2000,paired_stratified,20260912,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,accuracy,0.48966040599506733,0.47723392145702903,0.012426484538038296,0.0041737810662113555,0.021060994118763051,2000,paired_stratified,20261801,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,fatal_recall,0.44787644787644787,0.60617760617760619,-0.15830115830115832,-0.22007722007722003,-0.096525096525096499,2000,paired_stratified,20261801,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,macro_f1,0.3284346174466678,0.32718244248695855,0.0012521749597092513,-0.0066220114583444636,0.0095929928854186358,2000,paired_stratified,20261801,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,mean_asymmetric_cost,0.81322329728704235,0.83836084234490604,-0.025137545057863697,-0.040125213431986384,-0.011001233162587777,2000,paired_stratified,20261801,False
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,minor_recall,0.54560934079299439,0.5312576015567988,0.014351739236195593,0.0052298710775967568,0.024568231573826371,2000,paired_stratified,20261801,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,ordinal_mae,0.6987288939480174,0.7400872699677481,-0.041358376019730692,-0.054448871181938863,-0.029116865869853965,2000,paired_stratified,20261801,False
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,qwk,0.089557907107103762,0.10174631293685088,-0.012188405829747118,-0.023193100371744289,-0.0011539538662865044,2000,paired_stratified,20261801,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,serious_or_fatal_recall,0.60301724137931034,0.64137931034482754,-0.038362068965517193,-0.055603448275862055,-0.020689655172413834,2000,paired_stratified,20261801,True
drop_urban,lightgbm_minus_logistic_within_ablation,lightgbm_weighted,logistic_weighted,drop_urban,drop_urban,serious_recall,0.2717127607957302,0.24551188743328481,0.026200873362445393,0.0058224163027656428,0.047076661814653011,2000,paired_stratified,20261801,True
