role,rows,positions_sha256,used_for_fit,used_for_selection
train,22805,178067921f221cee45545393b4768ad6c44075a9620d6eb30ace9ca81569ec9c,True,False
validation,4887,594151e43bf1c5e98c58892a19bf77eb79b5fd4d4c0e88bccdd2fd0b02bef7fd,False,True
test,4887,b12f1cabeb71f52f8971f9dd762678d1af39cc13657b4e02973e299b14d84692,False,False
locked_temporal_test,10542,f92ead913b23c4fd79517a557a12bb7338bc539e32ab18912d7e162f4048a8ed,False,False
