role,rows,positions_sha256,used_for_fit,used_for_selection
train,449903,159e2872be19cfd330ca67cf0e874e9f8b7d08cf92b64564d81b7a9d263ae78f,True,False
validation,96408,625cd32a24bb2e76780ed231717013d7240e77e77def19e0a1867eb11f5c4b85,False,True
test,96408,5bc39ecb8244889a3be7337e622248114962e108bac712e360e078c8e5f184cc,False,False
locked_temporal_test,100927,a2dce368d97485ec1273f992e14f5e65388ec111c21c7e207127a7df813808b6,False,False
