evaluation_group,evaluation_design,seed,metric,higher_is_better,contrast,logistic_value,lightgbm_value,point_difference,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
temporal_2025,temporal_test,year_based,macro_f1,True,lightgbm_minus_logistic,0.3280505076541154,0.3273287028871736,-0.0007218047669418359,-0.008643449086241121,0.007378565293686282,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,qwk,True,lightgbm_minus_logistic,0.10331429835713046,0.08872990433262573,-0.014584394024504732,-0.025139715850488336,-0.0035387213870364423,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,ordinal_mae,False,lightgbm_minus_logistic,0.7375260861316638,0.6976854486814646,-0.03984063745019917,-0.05255406943653957,-0.027319294251565207,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,accuracy,True,lightgbm_minus_logistic,0.4786568013659647,0.48947068867387594,0.010813887307911219,0.0024663251754885583,0.019446025422121038,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,minor_recall,True,lightgbm_minus_logistic,0.5329603502797373,0.5465823400632449,0.013621989783507593,0.0037703721722208705,0.022865482850887853,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,serious_recall,True,lightgbm_minus_logistic,0.245026686074721,0.2663755458515284,0.021348859776807394,0.000970402717127615,0.041727316836487116,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,fatal_recall,True,lightgbm_minus_logistic,0.6138996138996139,0.4517374517374517,-0.16216216216216217,-0.22393822393822388,-0.1042471042471042,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6409482758620689,0.596551724137931,-0.04439655172413792,-0.0625,-0.027144396551724157,2000,2000,paired_stratified
temporal_2025,temporal_test,year_based,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8355150825270348,0.8134130146082338,-0.022102067918800983,-0.03718459495351922,-0.007683551508252726,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,macro_f1,True,lightgbm_minus_logistic,0.32546644038290934,0.3443539921527343,0.018887551769824984,0.00579282680334481,0.03221299697608851,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,qwk,True,lightgbm_minus_logistic,0.09636636135037646,0.09365250660500468,-0.00271385474537178,-0.02023530393417037,0.015011675044664212,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,ordinal_mae,False,lightgbm_minus_logistic,0.7362390014323716,0.6269695109474115,-0.10926949048496015,-0.12830468590137098,-0.0898301616533661,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,accuracy,True,lightgbm_minus_logistic,0.47779824022917944,0.5361162267239615,0.05831798649478209,0.04501227747084099,0.07285144260282385,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,minor_recall,True,lightgbm_minus_logistic,0.534102833158447,0.6138509968520461,0.07974816369359916,0.06427072402938083,0.09627492130115423,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,serious_recall,True,lightgbm_minus_logistic,0.2367303609341826,0.23248407643312102,-0.00424628450106157,-0.039278131634819524,0.0286624203821656,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,fatal_recall,True,lightgbm_minus_logistic,0.5714285714285714,0.45864661654135336,-0.11278195488721804,-0.18796992481203006,-0.03759398496240607,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6195348837209302,0.5106976744186047,-0.10883720930232554,-0.1386046511627907,-0.07999999999999996,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8432576222631472,0.7640679353386536,-0.07918968692449357,-0.10149887456517291,-0.05606200122774712,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,macro_f1,True,lightgbm_minus_logistic,0.326547615800634,0.33682196305520923,0.010274347254575211,0.0015774638307907306,0.01919293404803131,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,qwk,True,lightgbm_minus_logistic,0.09966157424641353,0.09680778710204319,-0.0028537871443703455,-0.01411891835396139,0.008966980922462342,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,ordinal_mae,False,lightgbm_minus_logistic,0.7378106621134509,0.647410358565737,-0.09040030354771389,-0.1031113640675394,-0.07796670461013096,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,accuracy,True,lightgbm_minus_logistic,0.47694934547524187,0.5198254600645039,0.04287611458926205,0.03376968317207363,0.052551697970024625,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,minor_recall,True,lightgbm_minus_logistic,0.5307711019216735,0.590124057406957,0.05935295548528341,0.04913646314765263,0.07017757236682076,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,serious_recall,True,lightgbm_minus_logistic,0.24793789422610382,0.25084910237748664,0.0029112081513828214,-0.019420184376516283,0.025715672003881612,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,fatal_recall,True,lightgbm_minus_logistic,0.5907335907335908,0.42857142857142855,-0.16216216216216223,-0.21235521235521237,-0.11196911196911197,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6370689655172413,0.5543103448275862,-0.08275862068965512,-0.10215517241379313,-0.06248922413793109,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8377916903813318,0.7735723771580345,-0.06421931322329733,-0.07968364636691323,-0.0491344147220641,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,macro_f1,True,lightgbm_minus_logistic,0.32966684123630347,0.33371354493827643,0.004046703701972965,-0.009749645900812997,0.017826080796004163,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,qwk,True,lightgbm_minus_logistic,0.10163089326613706,0.09623859766153298,-0.00539229560460408,-0.022685268915599056,0.011539534433200938,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,ordinal_mae,False,lightgbm_minus_logistic,0.7462656026191937,0.6766932678534888,-0.0695723347657049,-0.0898301616533661,-0.04931450787804381,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,accuracy,True,lightgbm_minus_logistic,0.47472887251892776,0.48393697564968285,0.009208103130755096,-0.0059341109064866004,0.024350317167996738,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,minor_recall,True,lightgbm_minus_logistic,0.525183630640084,0.526495278069255,0.0013116474291710034,-0.015477439664218218,0.017576075550891912,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,serious_recall,True,lightgbm_minus_logistic,0.2484076433121019,0.31316348195329086,0.06475583864118895,0.027600849256900206,0.10084925690021229,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,fatal_recall,True,lightgbm_minus_logistic,0.631578947368421,0.47368421052631576,-0.15789473684210525,-0.23308270676691734,-0.07518796992481208,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.641860465116279,0.6046511627906976,-0.037209302325581395,-0.06697674418604649,-0.008372093023255811,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8450992428892982,0.7923061182729692,-0.05279312461632901,-0.07652956824227541,-0.029051565377532222,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,macro_f1,True,lightgbm_minus_logistic,0.32783848742662824,0.3265141069696647,-0.0013243804569635365,-0.010464138287231917,0.008233544897022885,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,qwk,True,lightgbm_minus_logistic,0.1037757456094398,0.07684978226911676,-0.026925963340323045,-0.03912351870072575,-0.014591482133902153,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,ordinal_mae,False,lightgbm_minus_logistic,0.7371466514892809,0.6878201479795105,-0.049326503509770414,-0.06374501992031867,-0.03500047429330295,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,accuracy,True,lightgbm_minus_logistic,0.4748624549421362,0.4745778789603491,-0.0002845759817871052,-0.010434452665528393,0.01052931132612406,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,minor_recall,True,lightgbm_minus_logistic,0.5246898564826077,0.5100948674288495,-0.014594989053758223,-0.026149355387983464,-0.002675747993188926,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,serious_recall,True,lightgbm_minus_logistic,0.26249393498301793,0.34400776322173704,0.08151382823871911,0.05676855895196509,0.10625909752547308,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,fatal_recall,True,lightgbm_minus_logistic,0.583011583011583,0.3861003861003861,-0.19691119691119685,-0.2548262548262548,-0.138996138996139,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6538793103448276,0.6120689655172413,-0.04181034482758628,-0.06294181034482768,-0.019827586206896616,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8338076266363119,0.8033579965850882,-0.030449630051223697,-0.04790599506734967,-0.013659647125782604,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,macro_f1,True,lightgbm_minus_logistic,0.32804693551481534,0.3343140751049172,0.006267139590101833,-0.005837095130623152,0.018818916206311976,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,qwk,True,lightgbm_minus_logistic,0.11220927663460545,0.09450956696909185,-0.017699709665513597,-0.03570754442256123,-1.6458467016624202e-05,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,ordinal_mae,False,lightgbm_minus_logistic,0.7219152854511971,0.6562308164518109,-0.06568446899938618,-0.0847145488029466,-0.04624514016779213,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,accuracy,True,lightgbm_minus_logistic,0.4849600982197667,0.507878043789646,0.02291794556987925,0.009821976672805433,0.03580928995293636,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,minor_recall,True,lightgbm_minus_logistic,0.5456453305351522,0.5718782791185729,0.026232948583420734,0.01101783840503678,0.04144805876180491,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,serious_recall,True,lightgbm_minus_logistic,0.21443736730360935,0.25902335456475584,0.04458598726114649,0.013800424628450103,0.07643312101910826,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,fatal_recall,True,lightgbm_minus_logistic,0.6616541353383458,0.43609022556390975,-0.22556390977443608,-0.30827067669172936,-0.14285714285714285,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6139534883720931,0.5572093023255814,-0.05674418604651166,-0.08186046511627909,-0.030697674418604715,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8252506650296706,0.7843257622263147,-0.04092490280335592,-0.06261510128913439,-0.01861571516267651,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,macro_f1,True,lightgbm_minus_logistic,0.3276893974658545,0.33410856302899056,0.006419165563136042,-0.0013711199131253501,0.014381782158580353,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,qwk,True,lightgbm_minus_logistic,0.09859399125619228,0.0970998431620318,-0.0014941480941604857,-0.012629284450049552,0.010216709569903162,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,ordinal_mae,False,lightgbm_minus_logistic,0.7360083475621324,0.6685638398785809,-0.06744450768355148,-0.07968127490039845,-0.05473344716372608,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,accuracy,True,lightgbm_minus_logistic,0.478561942705369,0.49981028267880856,0.021248339973439556,0.012711060519825457,0.029977708214760028,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,minor_recall,True,lightgbm_minus_logistic,0.5319873510094868,0.5535149598637801,0.02152760885429328,0.0120408659693505,0.0312576015567988,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,serious_recall,True,lightgbm_minus_logistic,0.2547307132459971,0.29839883551673946,0.04366812227074235,0.02328966521106257,0.06404657933042213,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,fatal_recall,True,lightgbm_minus_logistic,0.5637065637065637,0.39768339768339767,-0.16602316602316602,-0.22393822393822388,-0.11196911196911191,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6400862068965517,0.6056034482758621,-0.03448275862068961,-0.05301724137931041,-0.015948275862068928,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8366533864541833,0.78495541642952,-0.05169797002466325,-0.06668563839878583,-0.03652058432934935,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,macro_f1,True,lightgbm_minus_logistic,0.3277146650979064,0.34012339444923595,0.012408729351329528,-0.0002951469972465911,0.024821634708600274,2000,2000,paired_stratified
