model,metric,direction,random_internal_mean_5_seeds,random_internal_sd_5_seeds,same_random_models_2024_mean_5_seeds,same_random_models_2024_sd_5_seeds,mean_oriented_optimism_gap_5_seeds,optimism_gap_sd_5_seeds,optimism_gap_minimum,optimism_gap_maximum,strict_temporal_2024_point,strict_temporal_2024_ci_lower,strict_temporal_2024_ci_upper,random_seed_summary_status,temporal_interval_status
dummy_most_frequent,macro_f1,higher_is_better,0.29204392980530913,1.1959900977796704e-06,0.2860649942019967,0.0,0.0059789356033123,1.1959900977796704e-06,0.0059776254618021,0.0059798090309858,0.2860649942019967,0.2860649942019967,0.2860649942019967,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
dummy_most_frequent,qwk,higher_is_better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
dummy_most_frequent,ordinal_mae,lower_is_better,0.23492656211102808,1.1362595583446303e-05,0.2632694918109128,0.0,0.0283429296998847,1.1362595583461503e-05,0.0283304826000589,0.0283512277664352,0.2632694918109128,0.2632694918109128,0.2632694918109128,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
dummy_most_frequent,accuracy,higher_is_better,0.7795680856360468,5.681297791685145e-06,0.7516125516462394,0.0,0.0279555339898073,5.681297791685146e-06,0.0279493104398945,0.0279596830230826,0.7516125516462394,0.7516125516462394,0.7516125516462394,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
dummy_most_frequent,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
dummy_most_frequent,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
dummy_most_frequent,mean_asymmetric_cost,lower_is_better,0.4843477719691312,2.8406488958668963e-05,0.5414210270789779,0.0,0.0570732551098466,2.840648895863856e-05,0.0570421373602823,0.0570940002762229,0.5414210270789779,0.5414210270789779,0.5414210270789779,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_unweighted,macro_f1,higher_is_better,0.29214074496120473,5.82856787107769e-05,0.2860628412827706,0.0,0.0060779036784341,5.828567871079091e-05,0.0060308798487696,0.0061794195646044,0.2860927451834302,0.2860585353712482,0.2861547023677489,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_unweighted,qwk,higher_is_better,0.000208497335627051,0.0002473685332166154,-1.7803230920820923e-05,0.0,0.0002263005665481,0.0002473685332167,-7.874958703490975e-05,0.000508269983129,3.2016626052788766e-05,-5.3407982791853215e-05,0.000149456323378,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_unweighted,ordinal_mae,lower_is_better,0.23499709567670726,5.319426356715364e-05,0.263279399962349,0.0,0.0282823042856416,5.319426356716609e-05,0.0282159197532377,0.0283611359178713,0.2632694918109128,0.2632397673566042,0.2632992162652214,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
