seed,model,internal_qwk,future_qwk,standardized_future_qwk,raw_gap,raw_ci_lower,raw_ci_upper,standardized_gap,standardized_ci_lower,standardized_ci_upper,gap_change,gap_change_ci_lower,gap_change_ci_upper
1103,logistic_weighted,0.097481611316593941,0.10278517970652512,0.097219287350525985,-0.0053035683899311792,-0.011810659216564755,0.0014402924780928992,0.0002623239660679566,-0.0060152330514415204,0.0068028378501775516,0.0055658923559991358,0.0052595522594620107,0.0058627723888000126
1103,lightgbm_weighted,0.1156070966327416,0.097069482509991256,0.092661731534878666,0.018537614122750345,0.010289450996625723,0.026663567743416636,0.022945365097862935,0.014850709109418625,0.030842062120959402,0.0044077509751125898,0.0040811019779162126,0.0047273658594415291
2207,logistic_weighted,0.098519625667027211,0.099077655214211191,0.093804214595225588,-0.00055802954718398023,-0.0071476892933497824,0.0059428117361482362,0.0047154110718016229,-0.0016115554854124691,0.011033575246548903,0.0052734406189856031,0.0049679588397126134,0.0055921158839570464
2207,lightgbm_weighted,0.11597735573716694,0.099891387138914212,0.095337653182216098,0.016085968598252731,0.0078826180885970785,0.024347349541825526,0.020639702554950845,0.012655876151347289,0.028739116717011414,0.0045537339566981139,0.0042427085454984827,0.0048611286471242771
3301,logistic_weighted,0.094963478785997091,0.097484855872890241,0.092342680873695127,-0.0025213770868931507,-0.0092527507018809792,0.0034858247145377048,0.0026207979123019642,-0.0039383721604151992,0.0084688799045175914,0.0051421749991951149,0.004845265325735165,0.0054621279651030277
3301,lightgbm_weighted,0.11019892616209559,0.086756604340350485,0.082798126747888667,0.023442321821745105,0.015428984497448959,0.030959986567602543,0.027400799414206922,0.019565581459134923,0.034775821580148164,0.0039584775924618176,0.0036568365014721439,0.0042860723636536421
4409,logistic_weighted,0.097682667486339914,0.097336855841926195,0.092150541807600961,0.00034581164441371826,-0.0061984640821584171,0.0067069171089604585,0.0055321256787389528,-0.00087427557524489554,0.011708512216270072,0.0051863140343252345,0.0048737753502235718,0.0054803856055144424
4409,lightgbm_weighted,0.11662473957319763,0.095331370311447006,0.090867784247541716,0.021293369261750628,0.013161774974023318,0.029074325107123412,0.025756955325655917,0.017719732697111357,0.033297749967186763,0.0044635860639052893,0.0041418998467443709,0.0047783474614234182
5501,logistic_weighted,0.097970224900010394,0.10218630586808908,0.096670943716333224,-0.0042160809680786837,-0.010555958867807797,0.0024551320315349097,0.00129928118367717,-0.0048001844337188125,0.0077471805642934273,0.0055153621517558538,0.0052079770016484981,0.0058010209495723579
5501,lightgbm_weighted,0.11486343570790702,0.10197094496706516,0.097317353009041541,0.012892490740841867,0.0047916772763151871,0.021106842687211632,0.017546082698865484,0.0096104995826336338,0.025438096960357471,0.0046535919580236174,0.00433649437775305,0.0049608170037466178
