model,metric,mean,sample_sd,minimum,maximum,seeds
logistic_weighted,raw_gap,-0.0024506488695346549,0.0023802889567533258,-0.0053035683899311792,0.00034581164441371826,5
logistic_weighted,standardized_gap,0.0028859879625175331,0.0022260059892669445,0.0002623239660679566,0.0055321256787389528,5
logistic_weighted,gap_change,0.0053366368320521881,0.00019294231292274583,0.0051421749991951149,0.0055658923559991358,5
lightgbm_weighted,raw_gap,0.018450352909068136,0.0041680407620486833,0.012892490740841867,0.023442321821745105,5
lightgbm_weighted,standardized_gap,0.022857781018308421,0.0039429021636109311,0.017546082698865484,0.027400799414206922,5
lightgbm_weighted,gap_change,0.0044074281092402858,0.00026772767324202679,0.0039584775924618176,0.0046535919580236174,5
