seed,model,metric,direction,random_internal_point,same_random_model_2024_point,optimism_gap,optimism_gap_ci_lower,optimism_gap_ci_upper,positive_gap_means,resampling_relation,confidence_level,bootstrap_iterations
1103,lightgbm_weighted,macro_f1,higher_is_better,0.35311614153981535,0.3627228537088228,-0.009606712169007436,-0.014238023636298567,-0.00495367846256331,random_internal_more_optimistic,independent_test_samples,0.95,2000
1103,lightgbm_weighted,qwk,higher_is_better,0.11647039804804415,0.0706124692654333,0.04585792878261086,0.037559477442062686,0.05423352447109027,random_internal_more_optimistic,independent_test_samples,0.95,2000
1103,lightgbm_weighted,ordinal_mae,lower_is_better,0.5398618371919343,0.39266994956750917,-0.1471918876244251,-0.152189048243984,-0.14216033706691322,random_internal_more_optimistic,independent_test_samples,0.95,2000
1103,lightgbm_weighted,accuracy,higher_is_better,0.5435752219732802,0.6447234139526589,-0.10114819197937863,-0.10484511809438618,-0.09705594268506267,random_internal_more_optimistic,independent_test_samples,0.95,2000
1103,lightgbm_weighted,fatal_recall,higher_is_better,0.382689556509299,0.1218375499334221,0.26085200657587687,0.2314310533023208,0.2909431440006553,random_internal_more_optimistic,independent_test_samples,0.95,2000
1103,lightgbm_weighted,serious_or_fatal_recall,higher_is_better,0.5479954827780915,0.27667637320994054,0.271319109568151,0.26280173811377905,0.27988267392349087,random_internal_more_optimistic,independent_test_samples,0.95,2000
1103,lightgbm_weighted,mean_asymmetric_cost,lower_is_better,0.657403949879678,0.59847216304854,-0.05893178683113798,-0.06519683733865732,-0.05285376588832335,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,dummy_most_frequent,macro_f1,higher_is_better,0.2920426196637989,0.28606499420199677,0.0059776254618021385,0.0059776254618021385,0.0059776254618021385,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,dummy_most_frequent,qwk,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,dummy_most_frequent,ordinal_mae,lower_is_better,0.23493900921085387,0.26326949181091286,0.028330482600058993,0.028330482600058993,0.028330482600058993,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,dummy_most_frequent,accuracy,higher_is_better,0.779561862086134,0.7516125516462394,0.02794931043989457,0.02794931043989457,0.02794931043989457,random_internal_more_optimistic,independent_test_samples,0.95,2000
