group_key,evaluation_scope,split_slug,sample_role,seed,model,metric,direction,point_estimate,ci_lower,ci_upper,confidence_level,bootstrap_iterations,interval_method,resampling_relation
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,,lightgbm_weighted,ordinal_mae,lower_is_better,0.39173858333250766,0.3887557343426437,0.39466247882132627,0.95,2000,percentile,paired_across_models_within_group
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,,lightgbm_weighted,accuracy,higher_is_better,0.646804125754258,0.6443860413962567,0.6491823298027287,0.95,2000,percentile,paired_across_models_within_group
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,,lightgbm_weighted,fatal_recall,higher_is_better,0.11717709720372836,0.10053262316910785,0.13315579227696406,0.95,2000,percentile,paired_across_models_within_group
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,,lightgbm_weighted,serious_or_fatal_recall,higher_is_better,0.2748414376321353,0.2690962942279309,0.28030735170928234,0.95,2000,percentile,paired_across_models_within_group
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,,lightgbm_weighted,mean_asymmetric_cost,lower_is_better,0.5981352858997097,0.5943501243473005,0.6019206951559049,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,macro_f1,higher_is_better,0.2920426196637989,0.2920426196637989,0.2920426196637989,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,qwk,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,ordinal_mae,lower_is_better,0.23493900921085387,0.23493900921085387,0.23493900921085387,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,accuracy,higher_is_better,0.779561862086134,0.779561862086134,0.779561862086134,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,dummy_most_frequent,mean_asymmetric_cost,lower_is_better,0.4843788897186955,0.4843788897186955,0.4843788897186955,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,macro_f1,higher_is_better,0.2921156138681074,0.29201204702224814,0.29223894428908054,0.95,2000,percentile,paired_across_models_within_group
