group_key,evaluation_scope,split_slug,sample_role,seed,candidate,reference,metric,direction,candidate_point,reference_point,raw_delta_candidate_minus_reference,raw_delta_ci_lower,raw_delta_ci_upper,oriented_advantage,oriented_advantage_ci_lower,oriented_advantage_ci_upper,positive_oriented_advantage_favors,resampling_relation,confidence_level,bootstrap_iterations
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.0706124692654333,0.07606595824102413,-0.005453488975590837,-0.011219576799578444,0.000570742655573833,-0.005453488975590837,-0.011219576799578444,0.000570742655573833,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.39266994956750917,0.4566567915424019,-0.06398684197489274,-0.06719708304021715,-0.0608353067068277,0.06398684197489274,0.0608353067068277,0.06719708304021715,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.6447234139526589,0.6239955611481566,0.02072785280450229,0.018319924301723044,0.023195477919684522,0.02072785280450229,0.018319924301723044,0.023195477919684522,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.1218375499334221,0.3129161118508655,-0.19107856191744338,-0.21173435419440748,-0.17110519307589878,-0.19107856191744338,-0.21173435419440748,-0.17110519307589878,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.27667637320994054,0.2880848857154254,-0.011408512505484858,-0.01651541744784398,-0.006143045195261099,-0.011408512505484858,-0.01651541744784398,-0.006143045195261099,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.59847216304854,0.6539379947883124,-0.055465831739772375,-0.05957820999336157,-0.05145253500054497,0.055465831739772375,0.05145253500054496,0.05957820999336156,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.3543631163244017,0.32304628350578035,0.031316832818621354,0.028484237906295888,0.03417312794922528,0.031316832818621354,0.028484237906295888,0.03417312794922528,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.1175102410499751,0.09924119748503124,0.018269043564943854,0.01414167689705712,0.02243734305678405,0.018269043564943854,0.01414167689705712,0.02243734305678405,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.5391150112023898,0.6980541033939092,-0.15893909219151936,-0.16290193759853955,-0.15490208281470416,0.15893909219151936,0.15490208281470416,0.16290193759853955,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.5466869969297153,0.4837357895610323,0.06295120736868304,0.0598806634304207,0.06588716704007969,0.06295120736868304,0.0598806634304207,0.06588716704007969,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.39413447782546496,0.6394849785407726,-0.24535050071530762,-0.26895565092989987,-0.2203147353361946,-0.24535050071530762,-0.26895565092989987,-0.2203147353361946,lightgbm_weighted,paired_same_collision_records,0.95,2000
