metric,direction,candidate,reference,candidate_point,reference_point,raw_delta_candidate_minus_reference,raw_delta_ci_lower,raw_delta_ci_upper,oriented_advantage,oriented_advantage_ci_lower,oriented_advantage_ci_upper,temporal_interval_evidence_class,random_internal_mean_oriented_advantage,random_internal_sd_across_seeds,temporal_minus_random_mean_advantage,cross_protocol_change_status,macro_f1_point_threshold_0_01_pass,macro_f1_ci_lower_above_zero_pass
macro_f1,higher_is_better,lightgbm_weighted,logistic_weighted,0.3622330194520711,0.3483373802058527,0.0138956392462184,0.0108749991299353,0.0169556485631646,0.0138956392462184,0.0108749991299353,0.0169556485631646,clear_candidate_advantage,0.0305608676026905,0.0012632167147564,-0.016665228356472,descriptive_not_causal,True,True
qwk,higher_is_better,lightgbm_weighted,logistic_weighted,0.0700795426859418,0.0563524338992648,0.013727108786677,0.0087278856869159,0.0192430300882556,0.013727108786677,0.0087278856869159,0.0192430300882556,clear_candidate_advantage,0.0184809967590486,0.0016413286698621,-0.0047538879723716,descriptive_not_causal,,
ordinal_mae,lower_is_better,lightgbm_weighted,logistic_weighted,0.3917385833325076,0.4296174462730488,-0.0378788629405411,-0.0407923548703518,-0.0351241491374954,0.0378788629405411,0.0351241491374954,0.0407923548703518,clear_candidate_advantage,0.1579827400215749,0.0031869616257639,-0.1201038770810337,descriptive_not_causal,,
accuracy,higher_is_better,lightgbm_weighted,logistic_weighted,0.646804125754258,0.6395117262972247,0.0072923994570333,0.0050427536734471,0.009680759360726,0.0072923994570333,0.0050427536734471,0.009680759360726,clear_candidate_advantage,0.0620363455314911,0.0025791402546437,-0.0547439460744578,descriptive_not_causal,,
fatal_recall,higher_is_better,lightgbm_weighted,logistic_weighted,0.1171770972037283,0.2177097203728362,-0.1005326231691078,-0.1165113182423435,-0.0838881491344873,-0.1005326231691078,-0.1165113182423435,-0.0838881491344873,clear_reference_advantage,-0.2636332914491814,0.0153193208679953,0.1631006682800735,descriptive_not_causal,,
serious_or_fatal_recall,higher_is_better,lightgbm_weighted,logistic_weighted,0.2748414376321353,0.2517052933902429,0.0231361442418923,0.0182695759703219,0.0280824923211935,0.0231361442418923,0.0182695759703219,0.0280824923211935,clear_candidate_advantage,-0.0664237892884933,0.0048031665073414,0.0895599335303857,descriptive_not_causal,,
mean_asymmetric_cost,lower_is_better,lightgbm_weighted,logistic_weighted,0.5981352858997097,0.6387686149395108,-0.0406333290398011,-0.0443394730845066,-0.0372640621439257,0.0406333290398011,0.0372640621439257,0.0443394730845066,clear_candidate_advantage,0.135698282300224,0.0024432288880001,-0.0950649532604229,descriptive_not_causal,,
