seed,split,years,rows,share_of_relevant_pool,slight_n,slight_pct,serious_n,serious_pct,fatal_n,fatal_pct
1103,train,2018;2019;2020;2021;2022;2023,449903,0.6999995332330303,350730,0.7795680402220034,92650,0.2059332789512406,6523,0.01449868082675599
1103,validation,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75157,0.779572234669322,19854,0.20593726661687828,1397,0.014490498713799685
1103,test,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75156,0.779561862086134,19854,0.20593726661687828,1398,0.014500871296987803
2207,train,2018;2019;2020;2021;2022;2023,449903,0.6999995332330303,350730,0.7795680402220034,92650,0.2059332789512406,6523,0.01449868082675599
2207,validation,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75157,0.779572234669322,19854,0.20593726661687828,1397,0.014490498713799685
2207,test,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75156,0.779561862086134,19854,0.20593726661687828,1398,0.014500871296987803
3301,train,2018;2019;2020;2021;2022;2023,449903,0.6999995332330303,350730,0.7795680402220034,92650,0.2059332789512406,6523,0.01449868082675599
3301,validation,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75156,0.779561862086134,19854,0.20593726661687828,1398,0.014500871296987803
3301,test,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75157,0.779572234669322,19854,0.20593726661687828,1397,0.014490498713799685
4409,train,2018;2019;2020;2021;2022;2023,449903,0.6999995332330303,350730,0.7795680402220034,92650,0.2059332789512406,6523,0.01449868082675599
4409,validation,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75156,0.779561862086134,19854,0.20593726661687828,1398,0.014500871296987803
4409,test,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75157,0.779572234669322,19854,0.20593726661687828,1397,0.014490498713799685
5501,train,2018;2019;2020;2021;2022;2023,449903,0.6999995332330303,350730,0.7795680402220034,92650,0.2059332789512406,6523,0.01449868082675599
5501,validation,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75156,0.779561862086134,19854,0.20593726661687828,1398,0.014500871296987803
5501,test,2018;2019;2020;2021;2022;2023,96408,0.15000023338348484,75157,0.779572234669322,19854,0.20593726661687828,1397,0.014490498713799685
