dataset,scope,mean,std,min,max
cas,overall,0.99928571428571422,0.0015971914124999608,0.99642857142857122,1
cas,Minor,0.99357142857142855,0.0052972846336398396,0.98571428571428543,1
cas,Serious,0.99571428571428555,0.0029880715233360179,0.99285714285714277,1
cas,Fatal,0.99499999999999988,0.0093131462931466749,0.97857142857142843,1
