dataset,model,metric,mean,std,min,max
cas,dummy_most_frequent,macro_f1,2.1197338917866571e-05,0,2.1197338917866571e-05,2.1197338917866571e-05
cas,logistic_weighted,macro_f1,-0.00034311580959091038,0.0014789289210028456,-0.0020105145454434314,0.0018283538096752205
cas,lightgbm_legacy,macro_f1,0.0028182679310275625,0.0042525858324965731,-0.0016653892650924651,0.0075320290975250948
cas,lightgbm_revised,macro_f1,0.00098207132022809507,0.0050486845530574526,-0.0060827612827119015,0.0077905768261012365
cas,dummy_most_frequent,qwk,0,0,0,0
cas,logistic_weighted,qwk,-3.7978589971410234e-05,0.0085159827758735165,-0.0093918121720318881,0.013615285378413167
cas,lightgbm_legacy,qwk,0.0035204786417102119,0.01201064671987136,-0.0089420289384637419,0.019388815392416436
cas,lightgbm_revised,qwk,-8.184722098025788e-06,0.013306750881618219,-0.017211346962058949,0.018745478420749584
cas,dummy_most_frequent,ordinal_mae,-0.002545927255927033,0,-0.002545927255927033,-0.002545927255927033
cas,logistic_weighted,ordinal_mae,0.0021798508558650287,0.008297885733971248,-0.009118951129912789,0.014093062110935306
cas,lightgbm_legacy,ordinal_mae,0.010076761561430624,0.0075534913326018999,-1.211209417062431e-05,0.020440847618325542
cas,lightgbm_revised,ordinal_mae,0.007850570299118665,0.0092807298049734244,-0.0032020766651305044,0.019064028605971339
cas,dummy_most_frequent,accuracy,0.00010074001401505495,0,0.00010074001401505495,0.00010074001401505495
cas,logistic_weighted,accuracy,0.0020676975223430259,0.0027733131083907616,-0.00013358242320843372,0.0063981555143977076
cas,lightgbm_legacy,accuracy,0.0067717320958500023,0.006889194301708145,-0.00065242261099707211,0.016290766659457612
cas,lightgbm_revised,accuracy,0.004150931134708713,0.0077049297816708115,-0.0043004922052268801,0.015637587042574785
cas,dummy_most_frequent,fatal_recall,0,0,0,0
cas,logistic_weighted,fatal_recall,0.038975817923186343,0.041890845760048777,-0.019305019305019377,0.097947571631782138
cas,lightgbm_legacy,fatal_recall,0.054826254826254806,0.044815545302319459,0.0040642145905303573,0.11400121926437712
cas,lightgbm_revised,fatal_recall,0.043487096118675038,0.023861906887338687,0.025198130461288326,0.084738874212558379
cas,dummy_most_frequent,serious_or_fatal_recall,0,0,0,0
cas,logistic_weighted,serious_or_fatal_recall,-0.025007217321571761,0.013303730383019092,-0.04682437850842025,-0.012018845228548569
cas,lightgbm_legacy,serious_or_fatal_recall,-0.030799518845228534,0.025168444469019405,-0.05456896551724133,-4.0096230954356216e-06
cas,lightgbm_revised,serious_or_fatal_recall,-0.033408580593424241,0.025170141488293298,-0.058831194867682401,0.00097032878909375508
cas,dummy_most_frequent,mean_asymmetric_cost,-0.007738521781796126,0,-0.007738521781796126,-0.007738521781796126
cas,logistic_weighted,mean_asymmetric_cost,-0.0034074814775217678,0.0086581560884778641,-0.011291616252986247,0.011402721424512707
cas,lightgbm_legacy,mean_asymmetric_cost,0.003164296248313758,0.0080309629255544985,-0.0090377768064809905,0.011051878312119068
cas,lightgbm_revised,mean_asymmetric_cost,-0.00024085598032903556,0.010064756634685233,-0.014499050190538432,0.0096291148656273418
