role,rows,positions_sha256,used_for_fit,used_for_selection
train,22805,cfe9d2d5c4b2a22d48623b5c076144276c7e539c1153ae9716d81e28c55a1fa0,True,False
validation,4887,0f86aea08c6bbe34df8f2e66025e49b083094ab6fb84fdd3131b9b2da888fbe4,False,True
test,4887,05c00f1cadc68f0495b7078a9f2e474dbf76a9e04b7aea13f72e1d79688d4be3,False,False
locked_temporal_test,10542,f92ead913b23c4fd79517a557a12bb7338bc539e32ab18912d7e162f4048a8ed,False,False
